factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_damping_scale,28,1.06502,fourth_standard_pd,0.079121,0.00129299,16.7022,8.11929
modal_damping_scale,29,1.11911,s_curve_standard_pd,0.230949,0.0035261,18.6741,7.72714
modal_damping_scale,29,1.11911,fourth_standard_pd,0.0793182,0.00129605,16.7026,8.11929
modal_damping_scale,30,1.23552,s_curve_standard_pd,0.226461,0.00346026,18.6721,7.72713
modal_damping_scale,30,1.23552,fourth_standard_pd,0.0797504,0.00130262,16.7033,8.11927
modal_damping_scale,31,0.789738,s_curve_standard_pd,0.245373,0.00373653,18.6806,7.72716
modal_damping_scale,31,0.789738,fourth_standard_pd,0.0781212,0.00127738,16.7002,8.11933
modal_damping_scale,32,0.768726,s_curve_standard_pd,0.246395,0.0037514,18.681,7.72716
modal_damping_scale,32,0.768726,fourth_standard_pd,0.0780426,0.00127613,16.7,8.11934
modal_damping_scale,33,0.734873,s_curve_standard_pd,0.24807,0.00377575,18.6818,7.72716
modal_damping_scale,33,0.734873,fourth_standard_pd,0.0779209,0.00127422,16.6997,8.11934
modal_damping_scale,34,0.774674,s_curve_standard_pd,0.246105,0.00374717,18.6809,7.72716
modal_damping_scale,34,0.774674,fourth_standard_pd,0.0780646,0.00127648,16.7001,8.11934
modal_damping_scale,35,0.775503,s_curve_standard_pd,0.246065,0.00374658,18.6809,7.72716
modal_damping_scale,35,0.775503,fourth_standard_pd,0.0780675,0.00127653,16.7001,8.11934
modal_damping_scale,36,1.1525,s_curve_standard_pd,0.229635,0.00350682,18.6735,7.72713
modal_damping_scale,36,1.1525,fourth_standard_pd,0.0794421,0.00129795,16.7028,8.11928
modal_damping_scale,37,1.26167,s_curve_standard_pd,0.225491,0.00344599,18.6717,7.72713
modal_damping_scale,37,1.26167,fourth_standard_pd,0.0798473,0.00130409,16.7035,8.11926
modal_damping_scale,38,0.780102,s_curve_standard_pd,0.24584,0.00374332,18.6808,7.72716
modal_damping_scale,38,0.780102,fourth_standard_pd,0.0780848,0.00127679,16.7001,8.11934
modal_damping_scale,39,1.14096,s_curve_standard_pd,0.230085,0.00351343,18.6737,7.72713
modal_damping_scale,39,1.14096,fourth_standard_pd,0.0793998,0.00129729,16.7027,8.11928
modal_damping_scale,40,1.13044,s_curve_standard_pd,0.230499,0.00351952,18.6739,7.72714
modal_damping_scale,40,1.13044,fourth_standard_pd,0.0793607,0.00129669,16.7027,8.11928
modal_damping_scale,41,0.878839,s_curve_standard_pd,0.241188,0.00367565,18.6787,7.72715
modal_damping_scale,41,0.878839,fourth_standard_pd,0.0784385,0.00128242,16.7009,8.11932
modal_damping_scale,42,1.02838,s_curve_standard_pd,0.23465,0.00358024,18.6757,7.72714
