factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
sensor_noise_frequency_hz,17,1.25519,fourth_standard_pd,0.913882,0.0130791,21.636,8.83859,0.00679397,0.881474,-32.3783,-49.9546
sensor_noise_frequency_hz,18,0.681755,s_curve_standard_pd,0.859382,0.0179494,23.5509,8.43806,0.018745,0.759022,-21.724,-50.3565
sensor_noise_frequency_hz,18,0.681755,fourth_standard_pd,0.825555,0.0176515,21.4699,8.79527,0.018824,0.755801,-21.6767,-50.3707
sensor_noise_frequency_hz,19,27.6254,s_curve_standard_pd,0.235862,0.00359796,23.7512,8.52488,2.09846e-05,0.00133601,-84.4574,-106.433
sensor_noise_frequency_hz,19,27.6254,fourth_standard_pd,0.0789153,0.00128975,21.7661,8.88184,2.03987e-05,0.00133601,-84.3277,-106.433
sensor_noise_frequency_hz,20,0.473782,s_curve_standard_pd,6.13442,0.0935251,22.2586,8.14048,0.0752387,6.07467,-10.4268,-33.3389
sensor_noise_frequency_hz,20,0.473782,fourth_standard_pd,6.15175,0.0938363,20.2476,8.51066,0.0747185,6.08135,-10.4705,-33.347
sensor_noise_frequency_hz,21,15.7327,s_curve_standard_pd,0.235908,0.00359861,23.7572,8.52469,7.39921e-05,0.00472603,-73.3778,-95.3956
sensor_noise_frequency_hz,21,15.7327,fourth_standard_pd,0.0790711,0.00129146,21.735,8.8816,7.19306e-05,0.00472596,-73.3175,-95.3957
sensor_noise_frequency_hz,22,0.749076,s_curve_standard_pd,0.541619,0.0130439,23.5518,8.45902,0.0125086,0.471279,-26.435,-55.6068
sensor_noise_frequency_hz,22,0.749076,fourth_standard_pd,0.489881,0.0126337,21.4574,8.81521,0.0126346,0.470594,-26.3731,-55.6249
sensor_noise_frequency_hz,23,1.93252,s_curve_standard_pd,0.690555,0.0104872,23.6109,8.46332,0.00752786,0.648905,-32.2204,-53.4091
sensor_noise_frequency_hz,23,1.93252,fourth_standard_pd,0.654819,0.0100254,21.6016,8.82196,0.00753705,0.648945,-32.2008,-53.4096
sensor_noise_frequency_hz,24,0.819132,s_curve_standard_pd,0.340576,0.00971143,23.5942,8.47504,0.00837709,0.231291,-30.2091,-61.2997
sensor_noise_frequency_hz,24,0.819132,fourth_standard_pd,0.254137,0.00921699,21.571,8.83087,0.00846312,0.230809,-30.0705,-61.3045
sensor_noise_frequency_hz,25,11.3406,s_curve_standard_pd,0.236058,0.0036008,23.7645,8.52427,0.000147245,0.00936239,-67.4444,-89.5888
sensor_noise_frequency_hz,25,11.3406,fourth_standard_pd,0.0794785,0.00129744,21.7622,8.88116,0.000143607,0.00936238,-67.3897,-89.5888
sensor_noise_frequency_hz,26,0.469527,s_curve_standard_pd,6.59529,0.099482,22.1743,8.11657,0.0787212,6.57447,-10.6875,-33.0727
sensor_noise_frequency_hz,26,0.469527,fourth_standard_pd,6.62647,0.0999667,20.1268,8.4879,0.0782413,6.57433,-10.7249,-33.0731
sensor_noise_frequency_hz,27,0.80282,s_curve_standard_pd,0.371953,0.0102326,23.5384,8.46974,0.00889705,0.284129,-33.1407,-60.5094
sensor_noise_frequency_hz,27,0.80282,fourth_standard_pd,0.302173,0.00983238,21.5028,8.82775,0.00893307,0.284721,-33.068,-60.4783
sensor_noise_frequency_hz,28,0.759183,s_curve_standard_pd,0.506431,0.0123582,23.5043,8.46323,0.0116949,0.43522,-28.7835,-56.8558
sensor_noise_frequency_hz,28,0.759183,fourth_standard_pd,0.453546,0.0120247,21.5007,8.81811,0.0118026,0.434139,-28.7031,-56.8732
sensor_noise_frequency_hz,29,42.6401,s_curve_standard_pd,0.235852,0.0035978,23.755,8.52507,4.64545e-06,0.000290678,-97.7135,-119.787
sensor_noise_frequency_hz,29,42.6401,fourth_standard_pd,0.0788874,0.0012894,21.7529,8.88205,4.43885e-06,0.000290678,-97.7062,-119.787
sensor_noise_frequency_hz,30,8.60107,s_curve_standard_pd,0.236459,0.00360757,23.7601,8.5238,0.00024026,0.0165895,-62.1159,-84.3771
sensor_noise_frequency_hz,30,8.60107,fourth_standard_pd,0.0806921,0.00131736,21.7666,8.88067,0.000238836,0.0165896,-62.0847,-84.3771
sensor_noise_frequency_hz,31,0.282458,s_curve_standard_pd,3.47982,0.0729473,22.9896,8.33391,0.14536,3.36464,-9.14295,-38.0331
sensor_noise_frequency_hz,31,0.282458,fourth_standard_pd,3.4572,0.0727955,21.0216,8.70907,0.147975,3.41425,-9.1284,-37.9043
sensor_noise_frequency_hz,32,1.21998,s_curve_standard_pd,0.802033,0.0115621,23.6904,8.49107,0.00572496,0.767598,-33.8755,-50.9468
sensor_noise_frequency_hz,32,1.21998,fourth_standard_pd,0.772146,0.01109,21.6713,8.84739,0.00579915,0.767127,-33.7629,-50.9507
sensor_noise_frequency_hz,33,0.635713,s_curve_standard_pd,1.18163,0.0226997,23.3548,8.41453,0.0248675,1.15956,-21.1716,-47.3509
sensor_noise_frequency_hz,33,0.635713,fourth_standard_pd,1.16858,0.0226591,21.534,8.78403,0.0252314,1.16854,-20.9993,-47.2776
sensor_noise_frequency_hz,34,2.33783,s_curve_standard_pd,0.403367,0.00619974,23.7001,8.49832,0.00402414,0.327484,-36.4936,-58.4256
sensor_noise_frequency_hz,34,2.33783,fourth_standard_pd,0.337272,0.00529108,21.6736,8.85586,0.00404111,0.327557,-36.3979,-58.4243
sensor_noise_frequency_hz,35,8.62557,s_curve_standard_pd,0.236456,0.00360753,23.7523,8.5239,0.000249047,0.0164925,-62.7252,-84.9866
sensor_noise_frequency_hz,35,8.62557,fourth_standard_pd,0.0806513,0.00131674,21.7879,8.88075,0.000245423,0.0164922,-62.7128,-84.9867
sensor_noise_frequency_hz,36,1.24528,s_curve_standard_pd,0.897935,0.0129057,23.6017,8.48335,0.00644103,0.849172,-33.0451,-51.2991
sensor_noise_frequency_hz,36,1.24528,fourth_standard_pd,0.870112,0.0124552,21.6142,8.84093,0.00644017,0.849536,-33.0221,-51.295
sensor_noise_frequency_hz,37,0.825386,s_curve_standard_pd,0.326811,0.00932794,23.625,8.47681,0.00798256,0.208439,-30.661,-61.7525
sensor_noise_frequency_hz,37,0.825386,fourth_standard_pd,0.23828,0.00892848,21.596,8.83282,0.00804708,0.208125,-30.5887,-61.7574
sensor_noise_frequency_hz,38,1.90248,s_curve_standard_pd,0.734699,0.0111344,23.5827,8.45709,0.00799932,0.696,-30.6441,-51.8021
sensor_noise_frequency_hz,38,1.90248,fourth_standard_pd,0.701404,0.0107043,21.5497,8.8164,0.00800239,0.696249,-30.6341,-51.7992
sensor_noise_frequency_hz,39,1.40487,s_curve_standard_pd,2.13461,0.0309057,22.9054,8.28354,0.0195208,2.11856,-23.3299,-42.3994
sensor_noise_frequency_hz,39,1.40487,fourth_standard_pd,2.12244,0.0307606,20.86,8.64942,0.0193759,2.11961,-23.3855,-42.396
sensor_noise_frequency_hz,40,0.117052,s_curve_standard_pd,1.03669,0.156854,20.1113,7.88619,3.66773,1.43793,24.2409,-45.6118
sensor_noise_frequency_hz,40,0.117052,fourth_standard_pd,1.0042,0.156963,18.4203,8.33445,3.65089,1.79266,24.1584,-44.1455
sensor_noise_frequency_hz,41,11.0646,s_curve_standard_pd,0.236083,0.0036009,23.7358,8.52432,0.000154945,0.00985287,-67.4852,-89.6704
sensor_noise_frequency_hz,41,11.0646,fourth_standard_pd,0.0795498,0.0012986,21.7637,8.8812,0.000151049,0.00985274,-67.3981,-89.6706
sensor_noise_frequency_hz,42,12.8271,s_curve_standard_pd,0.235973,0.00359955,23.7509,8.52453,0.000114048,0.00724976,-69.8012,-91.9516
sensor_noise_frequency_hz,42,12.8271,fourth_standard_pd,0.079257,0.00129388,21.7812,8.8814,0.000110997,0.0072496,-69.7739,-91.9518
sensor_noise_frequency_hz,43,0.110969,s_curve_standard_pd,0.96596,0.163362,19.3173,7.87563,3.65514,1.46646,24.2044,-44.8642
sensor_noise_frequency_hz,43,0.110969,fourth_standard_pd,0.931529,0.163405,18.2985,8.33826,3.63932,1.84592,24.1235,-43.337
sensor_noise_frequency_hz,44,1.94444,s_curve_standard_pd,0.674241,0.0102615,23.6095,8.46495,0.00736,0.631882,-31.337,-52.8104
sensor_noise_frequency_hz,44,1.94444,fourth_standard_pd,0.636265,0.0097641,21.616,8.82374,0.00734876,0.632023,-31.3264,-52.8089
sensor_noise_frequency_hz,45,31.7091,s_curve_standard_pd,0.235861,0.00359792,23.7647,8.5249,1.46413e-05,0.000927604,-88.2087,-110.214
sensor_noise_frequency_hz,45,31.7091,fourth_standard_pd,0.0789084,0.00128964,21.7627,8.88188,1.42008e-05,0.000927604,-88.1406,-110.214
sensor_noise_frequency_hz,46,7.25408,s_curve_standard_pd,0.237076,0.00361718,23.7661,8.52347,0.000315405,0.0236207,-59.9691,-82.2626
