factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
disturbance_frequency_hz,18,0.658215,s_curve_standard_pd,0.235787,0.00359512,18.6813,7.72714,0.00840732,0.00702588,-30.6059,-91.2527
disturbance_frequency_hz,18,0.658215,fourth_standard_pd,0.0788053,0.00128856,16.6967,8.11932,0.00849627,0.0166444,-30.4204,-83.6264
disturbance_frequency_hz,19,49.3592,s_curve_standard_pd,0.235848,0.00359774,18.6862,7.72715,7.79007e-07,4.81905e-08,-119.98,-195.08
disturbance_frequency_hz,19,49.3592,fourth_standard_pd,0.0788799,0.00128929,16.7113,8.11931,1.63938e-07,4.82199e-08,-133.896,-195.077
disturbance_frequency_hz,20,14.1421,s_curve_standard_pd,0.235848,0.00359774,18.6859,7.72715,6.35388e-06,1.18224e-05,-104.891,-147.959
disturbance_frequency_hz,20,14.1421,fourth_standard_pd,0.0788798,0.00128929,16.7095,8.11931,3.66534e-06,1.17792e-05,-110.4,-147.983
disturbance_frequency_hz,21,28.5713,s_curve_standard_pd,0.235848,0.00359774,18.6861,7.72715,1.79933e-06,2.44598e-06,-116.693,-160.986
disturbance_frequency_hz,21,28.5713,fourth_standard_pd,0.0788799,0.00128929,16.7112,8.11931,7.78312e-07,2.44354e-06,-127.202,-160.993
disturbance_frequency_hz,22,0.24727,s_curve_standard_pd,0.235545,0.00360707,18.6687,7.72711,0.140035,0.164943,-5.17345,-64.702
disturbance_frequency_hz,22,0.24727,fourth_standard_pd,0.0787166,0.0012938,16.7091,8.11937,0.142734,0.426939,-4.94115,-56.1224
disturbance_frequency_hz,23,5.53308,s_curve_standard_pd,0.235847,0.00359774,18.6857,7.72715,4.35888e-05,8.36104e-05,-87.0886,-130.767
disturbance_frequency_hz,23,5.53308,fourth_standard_pd,0.0788794,0.00128929,16.7073,8.11931,3.41261e-05,8.30873e-05,-87.0833,-130.778
disturbance_frequency_hz,24,1.95604,s_curve_standard_pd,0.235846,0.0035977,18.6772,7.72714,0.000455987,0.0011838,-60.165,-107.489
disturbance_frequency_hz,24,1.95604,fourth_standard_pd,0.0788869,0.00128939,16.7115,8.11931,0.000441283,0.00127329,-59.8695,-106.745
disturbance_frequency_hz,25,0.599432,s_curve_standard_pd,0.235946,0.00359956,18.6785,7.72714,0.0106268,0.0141953,-28.4032,-84.9684
disturbance_frequency_hz,25,0.599432,fourth_standard_pd,0.078878,0.00128964,16.7001,8.11931,0.0107176,0.0324168,-28.3984,-77.6928
disturbance_frequency_hz,26,14.4007,s_curve_standard_pd,0.235848,0.00359774,18.6854,7.72715,5.99041e-06,1.13516e-05,-106.109,-147.592
disturbance_frequency_hz,26,14.4007,fourth_standard_pd,0.0788798,0.00128929,16.711,8.11931,3.43903e-06,1.13401e-05,-111.34,-147.599
disturbance_frequency_hz,27,1.10841,s_curve_standard_pd,0.235842,0.00359777,18.6853,7.72715,0.00178778,0.00149258,-45.5521,-105.974
disturbance_frequency_hz,27,1.10841,fourth_standard_pd,0.078874,0.00128941,16.6918,8.11931,0.00180384,0.000860116,-45.3875,-110.92
disturbance_frequency_hz,28,3.07769,s_curve_standard_pd,0.235848,0.0035977,18.6862,7.72715,0.000160155,0.000336795,-71.7918,-118.478
disturbance_frequency_hz,28,3.07769,fourth_standard_pd,0.0788816,0.0012893,16.695,8.11931,0.000155076,0.000314931,-71.7426,-118.755
disturbance_frequency_hz,29,0.851941,s_curve_standard_pd,0.235846,0.00359951,18.6681,7.72714,0.00392327,0.000771707,-37.3829,-109.636
disturbance_frequency_hz,29,0.851941,fourth_standard_pd,0.0788772,0.00129002,16.7077,8.11931,0.00384478,0.000572426,-37.5687,-114.161
disturbance_frequency_hz,30,6.66766,s_curve_standard_pd,0.235848,0.00359774,18.6849,7.72715,2.61978e-05,5.64384e-05,-92.0031,-134.748
disturbance_frequency_hz,30,6.66766,fourth_standard_pd,0.0788795,0.00128929,16.7114,8.11931,2.36013e-05,5.61284e-05,-90.9646,-134.752
disturbance_frequency_hz,31,1.0967,s_curve_standard_pd,0.235851,0.00359801,18.6861,7.72714,0.0017874,0.00116927,-44.2474,-108.271
disturbance_frequency_hz,31,1.0967,fourth_standard_pd,0.0788968,0.00128938,16.6993,8.11931,0.00180347,0.000938016,-44.2351,-109.942
disturbance_frequency_hz,32,0.189854,s_curve_standard_pd,0.235768,0.00361259,18.6779,7.72711,0.708675,0.376548,1.01581,-62.7731
disturbance_frequency_hz,32,0.189854,fourth_standard_pd,0.0787407,0.00131648,16.7079,8.11924,0.784987,0.751054,0.982984,-56.6624
disturbance_frequency_hz,33,1.3391,s_curve_standard_pd,0.235857,0.00359785,18.668,7.72714,0.000975276,0.00419529,-49.5621,-97.6509
disturbance_frequency_hz,33,1.3391,fourth_standard_pd,0.0789419,0.00129002,16.698,8.11931,0.000984507,0.00279014,-49.5103,-100.709
disturbance_frequency_hz,34,7.86717,s_curve_standard_pd,0.235848,0.00359774,18.6845,7.72715,1.9558e-05,3.98947e-05,-92.1902,-136.724
disturbance_frequency_hz,34,7.86717,fourth_standard_pd,0.0788796,0.00128929,16.7102,8.11931,1.46824e-05,3.97444e-05,-95.8593,-136.742
disturbance_frequency_hz,35,23.9391,s_curve_standard_pd,0.235848,0.00359774,18.6861,7.72715,2.54352e-06,3.75686e-06,-116.308,-157.574
disturbance_frequency_hz,35,23.9391,fourth_standard_pd,0.0788798,0.00128929,16.7097,8.11931,1.3014e-06,3.75184e-06,-119.232,-157.585
disturbance_frequency_hz,36,1.38164,s_curve_standard_pd,0.235868,0.00359785,18.6817,7.72714,0.0011405,0.00490161,-50.4958,-96.2328
disturbance_frequency_hz,36,1.38164,fourth_standard_pd,0.0789279,0.00128987,16.6935,8.11931,0.00114679,0.00370976,-50.3817,-97.8742
disturbance_frequency_hz,37,44.9653,s_curve_standard_pd,0.235848,0.00359774,18.6858,7.72715,8.98413e-07,3.86502e-07,-123.417,-176.979
disturbance_frequency_hz,37,44.9653,fourth_standard_pd,0.0788799,0.00128929,16.7102,8.11931,2.74104e-07,3.86595e-07,-143.347,-176.978
disturbance_frequency_hz,38,4.0224,s_curve_standard_pd,0.235848,0.00359774,18.6844,7.72715,7.51351e-05,0.000162866,-78.0903,-125.29
disturbance_frequency_hz,38,4.0224,fourth_standard_pd,0.0788801,0.00128929,16.7044,8.11931,7.52588e-05,0.000165936,-77.9262,-125.059
disturbance_frequency_hz,39,39.147,s_curve_standard_pd,0.235848,0.00359774,18.6857,7.72715,1.02802e-06,9.0153e-07,-128.149,-169.953
disturbance_frequency_hz,39,39.147,fourth_standard_pd,0.0788799,0.00128929,16.7104,8.11931,4.03903e-07,9.01271e-07,-134.804,-169.953
disturbance_frequency_hz,40,0.272689,s_curve_standard_pd,0.236389,0.00360005,18.6737,7.72716,0.140036,0.167827,-10.0986,-66.4355
disturbance_frequency_hz,40,0.272689,fourth_standard_pd,0.0796523,0.00129079,16.6957,8.11932,0.142735,0.426437,-10.1464,-58.8872
disturbance_frequency_hz,41,0.391827,s_curve_standard_pd,0.232799,0.00354653,18.6711,7.72713,0.0346603,0.199164,-17.7127,-63.6407
disturbance_frequency_hz,41,0.391827,fourth_standard_pd,0.0756901,0.00123849,16.6937,8.11932,0.03558,0.107593,-17.4455,-68.5197
disturbance_frequency_hz,42,15.8285,s_curve_standard_pd,0.235848,0.00359774,18.6856,7.72715,5.64056e-06,9.2789e-06,-111.008,-149.449
disturbance_frequency_hz,42,15.8285,fourth_standard_pd,0.0788798,0.00128929,16.7113,8.11931,3.04829e-06,9.29453e-06,-113.388,-149.434
disturbance_frequency_hz,43,1.06112,s_curve_standard_pd,0.235852,0.00359766,18.6791,7.72714,0.00205393,0.000876668,-44.2424,-109.72
disturbance_frequency_hz,43,1.06112,fourth_standard_pd,0.0788883,0.00128942,16.696,8.11931,0.00206543,0.000794272,-44.2304,-111.571
disturbance_frequency_hz,44,1.66929,s_curve_standard_pd,0.235885,0.00359833,18.6818,7.72714,0.000684325,0.00398394,-55.3783,-97.7474
disturbance_frequency_hz,44,1.66929,fourth_standard_pd,0.0789315,0.00128999,16.7047,8.11931,0.000641247,0.00296151,-55.4074,-99.2456
disturbance_frequency_hz,45,0.428806,s_curve_standard_pd,0.237876,0.00360831,18.6728,7.72714,0.0345725,0.197136,-21.092,-64.4284
disturbance_frequency_hz,45,0.428806,fourth_standard_pd,0.0784429,0.00125426,16.7039,8.11931,0.0355028,0.109971,-20.9494,-69.4763
disturbance_frequency_hz,46,18.1025,s_curve_standard_pd,0.235848,0.00359774,18.6859,7.72715,4.36157e-06,6.98989e-06,-113.143,-152.139
disturbance_frequency_hz,46,18.1025,fourth_standard_pd,0.0788798,0.00128929,16.7102,8.11931,2.27119e-06,6.98083e-06,-113.479,-152.148
disturbance_frequency_hz,47,10.0013,s_curve_standard_pd,0.235848,0.00359774,18.6854,7.72715,1.25528e-05,2.42621e-05,-101.366,-141.134
disturbance_frequency_hz,47,10.0013,fourth_standard_pd,0.0788797,0.00128929,16.7101,8.11931,8.36167e-06,2.41867e-05,-101.743,-141.147
disturbance_frequency_hz,48,10.9545,s_curve_standard_pd,0.235848,0.00359774,18.6858,7.72715,1.04647e-05,1.99623e-05,-98.0961,-143.33
disturbance_frequency_hz,48,10.9545,fourth_standard_pd,0.0788797,0.00128929,16.7107,8.11931,7.37722e-06,2.00286e-05,-102.326,-143.303
disturbance_frequency_hz,49,0.449982,s_curve_standard_pd,0.232604,0.0035542,18.6784,7.72714,0.0243841,0.144032,-21.119,-64.5312
disturbance_frequency_hz,49,0.449982,fourth_standard_pd,0.0797557,0.00131343,16.6979,8.11931,0.0246804,0.0851546,-20.9804,-71.1953
disturbance_frequency_hz,50,1.02139,s_curve_standard_pd,0.235848,0.00359743,18.6663,7.72714,0.00236874,0.000583633,-43.1211,-113.981
disturbance_frequency_hz,50,1.02139,fourth_standard_pd,0.0788799,0.0012894,16.7108,8.11931,0.00238928,0.000699465,-43.0448,-112.203
disturbance_frequency_hz,51,5.54996,s_curve_standard_pd,0.235848,0.00359773,18.6847,7.72715,4.43602e-05,8.29026e-05,-85.4192,-130.92
disturbance_frequency_hz,51,5.54996,fourth_standard_pd,0.0788798,0.00128929,16.7039,8.11931,3.52606e-05,8.25912e-05,-86.8766,-130.92
disturbance_frequency_hz,52,0.459222,s_curve_standard_pd,0.234376,0.00356359,18.6806,7.72714,0.0243941,0.145065,-21.1099,-64.4632
disturbance_frequency_hz,52,0.459222,fourth_standard_pd,0.0769998,0.0012532,16.7032,8.11931,0.0246902,0.0859116,-20.972,-70.9906
disturbance_frequency_hz,53,9.04964,s_curve_standard_pd,0.235848,0.00359774,18.6855,7.72715,1.51501e-05,2.97776e-05,-92.9541,-139.798
disturbance_frequency_hz,53,9.04964,fourth_standard_pd,0.0788797,0.00128929,16.7054,8.11931,1.12936e-05,2.9748e-05,-99.7362,-139.789
disturbance_frequency_hz,54,0.263261,s_curve_standard_pd,0.236244,0.00359432,18.6712,7.72715,0.140036,0.167285,-5.17342,-64.5708
disturbance_frequency_hz,54,0.263261,fourth_standard_pd,0.0792786,0.00130163,16.7039,8.11932,0.142734,0.426116,-4.9412,-56.1432
disturbance_frequency_hz,55,1.95368,s_curve_standard_pd,0.235847,0.00359772,18.6764,7.72714,0.00045612,0.00122814,-60.2244,-107.183
disturbance_frequency_hz,55,1.95368,fourth_standard_pd,0.0788879,0.00128941,16.7111,8.11931,0.000441273,0.00128455,-59.9284,-106.67
disturbance_frequency_hz,56,38.109,s_curve_standard_pd,0.235848,0.00359774,18.6854,7.72715,1.09287e-06,1.0085e-06,-121.607,-169.858
disturbance_frequency_hz,56,38.109,fourth_standard_pd,0.0788799,0.00128929,16.7103,8.11931,4.06489e-07,1.00782e-06,-131.805,-169.865
disturbance_frequency_hz,57,0.586434,s_curve_standard_pd,0.235679,0.00359345,18.6737,7.72714,0.0151954,0.026381,-28.4471,-85.808
disturbance_frequency_hz,57,0.586434,fourth_standard_pd,0.0788254,0.00128726,16.7106,8.11931,0.0153334,0.046672,-28.4417,-77.5422
disturbance_frequency_hz,58,13.8235,s_curve_standard_pd,0.235848,0.00359774,18.6862,7.72715,7.4027e-06,1.23227e-05,-106.963,-146.892
disturbance_frequency_hz,58,13.8235,fourth_standard_pd,0.0788798,0.00128929,16.7085,8.11931,4.05937e-06,1.23519e-05,-110.875,-146.876
disturbance_frequency_hz,59,2.55831,s_curve_standard_pd,0.235848,0.00359777,18.6775,7.72714,0.000263871,0.000489163,-65.2741,-116.078
disturbance_frequency_hz,59,2.55831,fourth_standard_pd,0.0788798,0.00128929,16.7116,8.11931,0.000249836,0.000500404,-66.2715,-115.553
disturbance_frequency_hz,60,40.2462,s_curve_standard_pd,0.235848,0.00359774,18.6862,7.72715,1.01573e-06,7.9463e-07,-123.904,-170.979
disturbance_frequency_hz,60,40.2462,fourth_standard_pd,0.0788799,0.00128929,16.7097,8.11931,3.89229e-07,7.94418e-07,-134.928,-170.982
disturbance_frequency_hz,61,41.9136,s_curve_standard_pd,0.235848,0.00359774,18.6861,7.72715,8.97052e-07,6.42397e-07,-126.519,-173.361
disturbance_frequency_hz,61,41.9136,fourth_standard_pd,0.0788799,0.00128929,16.7102,8.11931,3.61395e-07,6.42101e-07,-133.956,-173.366
disturbance_frequency_hz,62,0.281855,s_curve_standard_pd,0.235359,0.00360553,18.6766,7.72711,0.140037,0.164327,-10.0986,-66.6734
disturbance_frequency_hz,62,0.281855,fourth_standard_pd,0.078688,0.0012978,16.6933,8.11926,0.142735,0.424298,-10.1463,-58.9514
disturbance_frequency_hz,63,0.140164,s_curve_standard_pd,0.235843,0.00359644,18.681,7.72712,3.70727,1.19828,9.55306,-56.2372
disturbance_frequency_hz,63,0.140164,fourth_standard_pd,0.0788814,0.00129641,16.7061,8.11926,3.68952,1.4053,10.556,-50.2746
disturbance_frequency_hz,64,0.479075,s_curve_standard_pd,0.236065,0.00360765,18.6825,7.72714,0.0243818,0.14973,-23.578,-70.9652
disturbance_frequency_hz,64,0.479075,fourth_standard_pd,0.0807241,0.00132161,16.7071,8.11931,0.024679,0.088792,-23.5303,-70.9785
disturbance_frequency_hz,65,1.06458,s_curve_standard_pd,0.235847,0.0035979,18.6803,7.72714,0.002054,0.000998082,-44.2402,-108.522
disturbance_frequency_hz,65,1.06458,fourth_standard_pd,0.0788909,0.00128939,16.6997,8.11931,0.00206551,0.00074063,-44.2279,-111.933
disturbance_frequency_hz,66,1.53384,s_curve_standard_pd,0.235962,0.00359862,18.6801,7.72714,0.000834594,0.00758708,-52.9896,-92.581
disturbance_frequency_hz,66,1.53384,fourth_standard_pd,0.0791057,0.00129156,16.6994,8.1193,0.000848091,0.00624369,-53.0378,-93.64
disturbance_frequency_hz,67,2.29943,s_curve_standard_pd,0.23585,0.00359779,18.6857,7.72715,0.000312207,0.000751733,-64.2049,-111.691
disturbance_frequency_hz,67,2.29943,fourth_standard_pd,0.0788791,0.00128927,16.703,8.11931,0.000314671,0.000693694,-63.9401,-111.988
disturbance_frequency_hz,68,0.616559,s_curve_standard_pd,0.235775,0.00359641,18.6835,7.72714,0.0106223,0.0132006,-30.6202,-90.8304
disturbance_frequency_hz,68,0.616559,fourth_standard_pd,0.0789293,0.00128969,16.6939,8.1193,0.0107126,0.032042,-30.4339,-83.5789
