factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_frequency_scale,28,0.721275,s_curve_standard_pd,0.714667,0.0108934,18.8445,7.73554
modal_frequency_scale,28,0.721275,fourth_standard_pd,1.19863,0.0182465,17.2569,8.13007
modal_frequency_scale,29,1.01983,s_curve_standard_pd,0.218502,0.00333322,18.696,7.72679
modal_frequency_scale,29,1.01983,fourth_standard_pd,0.085694,0.0013578,16.6877,8.1187
modal_frequency_scale,30,0.865469,s_curve_standard_pd,0.384499,0.00586848,18.6713,7.7302
modal_frequency_scale,30,0.865469,fourth_standard_pd,0.228248,0.00370691,16.9,8.12423
modal_frequency_scale,31,1.15963,s_curve_standard_pd,0.140331,0.00213685,18.7015,7.7248
modal_frequency_scale,31,1.15963,fourth_standard_pd,0.121317,0.00186211,16.6763,8.11524
modal_frequency_scale,32,0.706595,s_curve_standard_pd,0.770242,0.0117364,18.8445,7.73628
modal_frequency_scale,32,0.706595,fourth_standard_pd,1.37484,0.0207076,17.2897,8.13058
modal_frequency_scale,33,1.01633,s_curve_standard_pd,0.221461,0.00337846,18.693,7.72685
modal_frequency_scale,33,1.01633,fourth_standard_pd,0.0842457,0.00134119,16.6898,8.11881
modal_frequency_scale,34,1.14357,s_curve_standard_pd,0.147262,0.00224268,18.7099,7.725
modal_frequency_scale,34,1.14357,fourth_standard_pd,0.121646,0.00186477,16.6706,8.11557
modal_frequency_scale,35,0.864073,s_curve_standard_pd,0.387037,0.00590714,18.672,7.73024
modal_frequency_scale,35,0.864073,fourth_standard_pd,0.229984,0.00373324,16.9018,8.12429
modal_frequency_scale,36,0.842117,s_curve_standard_pd,0.431934,0.00658804,18.6752,7.73088
modal_frequency_scale,36,0.842117,fourth_standard_pd,0.244363,0.00396438,16.9313,8.12529
modal_frequency_scale,37,0.977847,s_curve_standard_pd,0.253988,0.00387448,18.6602,7.72756
modal_frequency_scale,37,0.977847,fourth_standard_pd,0.0758265,0.00129299,16.7235,8.12001
modal_frequency_scale,38,1.28499,s_curve_standard_pd,0.0978408,0.00148739,18.6517,7.72354
modal_frequency_scale,38,1.28499,fourth_standard_pd,0.102576,0.00157844,16.703,8.11295
modal_frequency_scale,39,1.2691,s_curve_standard_pd,0.102109,0.00155264,18.653,7.72368
modal_frequency_scale,39,1.2691,fourth_standard_pd,0.10124,0.00155802,16.7014,8.11321
modal_frequency_scale,40,0.759171,s_curve_standard_pd,0.625136,0.00952244,18.8169,7.73383
