factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
inertia_scale,29,0.962454,fourth_standard_pd,0.0797389,0.00130714,16.2989,7.92188
inertia_scale,30,1.23314,s_curve_standard_pd,0.251122,0.00377844,21.4858,8.89439
inertia_scale,30,1.23314,fourth_standard_pd,0.0742,0.0011948,19.2038,9.34516
inertia_scale,31,0.776821,s_curve_standard_pd,0.219215,0.00340845,15.9825,6.60975
inertia_scale,31,0.776821,fourth_standard_pd,0.0844699,0.00140908,14.3069,6.9458
inertia_scale,32,0.895855,s_curve_standard_pd,0.228337,0.0035111,17.4198,7.20572
inertia_scale,32,0.895855,fourth_standard_pd,0.0813415,0.00134095,15.5843,7.5717
inertia_scale,33,1.24557,s_curve_standard_pd,0.251885,0.00378761,21.6356,8.95664
inertia_scale,33,1.24557,fourth_standard_pd,0.0739793,0.00119043,19.3373,9.41053
inertia_scale,34,0.87251,s_curve_standard_pd,0.226593,0.00349126,17.138,7.08884
inertia_scale,34,0.87251,fourth_standard_pd,0.0819293,0.0013535,15.3338,7.44894
inertia_scale,35,0.831278,s_curve_standard_pd,0.223461,0.00345587,16.6402,6.8824
inertia_scale,35,0.831278,fourth_standard_pd,0.0829976,0.0013766,14.8914,7.23214
inertia_scale,36,1.0889,s_curve_standard_pd,0.241921,0.00366895,19.7479,8.17223
inertia_scale,36,1.0889,fourth_standard_pd,0.0769686,0.00125017,17.6557,8.58674
inertia_scale,37,1.0868,s_curve_standard_pd,0.241782,0.0036673,19.7227,8.16173
inertia_scale,37,1.0868,fourth_standard_pd,0.077012,0.00125104,17.6332,8.57572
inertia_scale,38,1.21105,s_curve_standard_pd,0.249763,0.00376217,21.2197,8.78379
inertia_scale,38,1.21105,fourth_standard_pd,0.0745994,0.00120271,18.9667,9.229
inertia_scale,39,1.22006,s_curve_standard_pd,0.250319,0.00376882,21.3283,8.82894
inertia_scale,39,1.22006,fourth_standard_pd,0.0744351,0.00119945,19.0635,9.27643
inertia_scale,40,0.834854,s_curve_standard_pd,0.223735,0.00345895,16.6834,6.9003
inertia_scale,40,0.834854,fourth_standard_pd,0.0829033,0.00137455,14.9297,7.25094
inertia_scale,41,0.77267,s_curve_standard_pd,0.218886,0.00340481,15.9323,6.58897
inertia_scale,41,0.77267,fourth_standard_pd,0.0845848,0.00141165,14.2623,6.92397
inertia_scale,42,1.26494,s_curve_standard_pd,0.253066,0.00380177,21.869,9.05364
inertia_scale,42,1.26494,fourth_standard_pd,0.0736383,0.00118375,19.5453,9.51241
inertia_scale,43,0.917497,s_curve_standard_pd,0.229932,0.00352936,17.681,7.31408
inertia_scale,43,0.917497,fourth_standard_pd,0.0808099,0.00132965,15.8165,7.68549
inertia_scale,44,1.13196,s_curve_standard_pd,0.244751,0.00370247,20.2668,8.38782
inertia_scale,44,1.13196,fourth_standard_pd,0.0761012,0.00123266,18.1179,8.81315
inertia_scale,45,0.933755,s_curve_standard_pd,0.231119,0.00354303,17.8772,7.39547
inertia_scale,45,0.933755,fourth_standard_pd,0.0804164,0.00132136,15.991,7.77098
inertia_scale,46,0.997825,s_curve_standard_pd,0.235696,0.00359597,18.65,7.71626
inertia_scale,46,0.997825,fourth_standard_pd,0.0789289,0.00129031,16.6785,8.10787
inertia_scale,47,1.18472,s_curve_standard_pd,0.248124,0.00374257,20.9025,8.65197
inertia_scale,47,1.18472,fourth_standard_pd,0.0750866,0.00121238,18.6841,9.09057
inertia_scale,48,0.811227,s_curve_standard_pd,0.221913,0.00343851,16.398,6.78201
inertia_scale,48,0.811227,fourth_standard_pd,0.0835313,0.00138829,14.6762,7.12671
inertia_scale,49,0.944191,s_curve_standard_pd,0.231875,0.00355171,18.0031,7.44772
inertia_scale,49,0.944191,fourth_standard_pd,0.0801689,0.00131614,16.103,7.82585
inertia_scale,50,1.12224,s_curve_standard_pd,0.244117,0.00369495,20.1497,8.33918
inertia_scale,50,1.12224,fourth_standard_pd,0.0762939,0.00123654,18.0136,8.76207
inertia_scale,51,1.0853,s_curve_standard_pd,0.241682,0.00366612,19.7045,8.15421
inertia_scale,51,1.0853,fourth_standard_pd,0.0770431,0.00125167,17.6171,8.56781
inertia_scale,52,1.27564,s_curve_standard_pd,0.253706,0.00380945,21.9979,9.1072
inertia_scale,52,1.27564,fourth_standard_pd,0.0734539,0.00118011,19.6601,9.56866
inertia_scale,53,1.0245,s_curve_standard_pd,0.23755,0.00361761,18.9717,7.8498
inertia_scale,53,1.0245,fourth_standard_pd,0.0783352,0.00127808,16.9647,8.24812
inertia_scale,54,1.02029,s_curve_standard_pd,0.237259,0.0036142,18.9209,7.82873
inertia_scale,54,1.02029,fourth_standard_pd,0.078428,0.00127999,16.9195,8.22599
inertia_scale,55,1.04996,s_curve_standard_pd,0.239295,0.00363808,19.2786,7.97727
inertia_scale,55,1.04996,fourth_standard_pd,0.0777851,0.00126679,17.2379,8.38199
inertia_scale,56,1.27105,s_curve_standard_pd,0.253434,0.00380619,21.9426,9.08422
inertia_scale,56,1.27105,fourth_standard_pd,0.0735318,0.00118167,19.6108,9.54452
inertia_scale,57,0.921143,s_curve_standard_pd,0.230199,0.00353242,17.725,7.33233
inertia_scale,57,0.921143,fourth_standard_pd,0.0807212,0.00132777,15.8557,7.70466
inertia_scale,58,0.883901,s_curve_standard_pd,0.227448,0.00350097,17.2755,7.14587
inertia_scale,58,0.883901,fourth_standard_pd,0.0816413,0.00134733,15.4561,7.50884
inertia_scale,59,1.28561,s_curve_standard_pd,0.254293,0.0038165,22.1179,9.15709
inertia_scale,59,1.28561,fourth_standard_pd,0.0732848,0.00117678,19.7671,9.62105
inertia_scale,60,1.29868,s_curve_standard_pd,0.255053,0.00382567,22.2755,9.22255
inertia_scale,60,1.29868,fourth_standard_pd,0.0730628,0.00117244,19.9074,9.6898
inertia_scale,61,1.02164,s_curve_standard_pd,0.237353,0.0036153,18.9372,7.83551
inertia_scale,61,1.02164,fourth_standard_pd,0.0783981,0.00127937,16.934,8.23311
inertia_scale,62,1.00707,s_curve_standard_pd,0.236341,0.00360349,18.7615,7.76253
inertia_scale,62,1.00707,fourth_standard_pd,0.0787218,0.00128603,16.7776,8.15647
inertia_scale,63,1.16307,s_curve_standard_pd,0.24675,0.00372621,20.6416,8.54358
inertia_scale,63,1.16307,fourth_standard_pd,0.0754971,0.00122056,18.4518,8.97674
inertia_scale,64,0.797261,s_curve_standard_pd,0.220824,0.00342635,16.2293,6.71209
inertia_scale,64,0.797261,fourth_standard_pd,0.0839091,0.00139662,14.5263,7.05328
inertia_scale,65,0.840227,s_curve_standard_pd,0.224148,0.0034636,16.7482,6.9272
inertia_scale,65,0.840227,fourth_standard_pd,0.0827618,0.00137149,14.9874,7.2792
inertia_scale,66,1.25365,s_curve_standard_pd,0.252381,0.00379355,21.7329,8.99708
inertia_scale,66,1.25365,fourth_standard_pd,0.0738369,0.00118763,19.424,9.45301
