frequency_hz,controller,L_real,L_imag
0.013432,avc,-2.487363e+01,-6.941610e+00
0.013556,standard_pd,-2.418025e+01,-6.883552e+00
0.013556,filtered_pd,-2.419891e+01,-6.883502e+00
0.013556,avc,-2.441926e+01,-6.877878e+00
0.013682,standard_pd,-2.373838e+01,-6.820354e+00
0.013682,filtered_pd,-2.375704e+01,-6.820303e+00
0.013682,avc,-2.397320e+01,-6.814731e+00
0.013808,standard_pd,-2.330458e+01,-6.757735e+00
0.013808,filtered_pd,-2.332324e+01,-6.757683e+00
0.013808,avc,-2.353528e+01,-6.752164e+00
0.013936,standard_pd,-2.287871e+01,-6.695690e+00
0.013936,filtered_pd,-2.289737e+01,-6.695638e+00
0.013936,avc,-2.310536e+01,-6.690170e+00
0.014065,standard_pd,-2.246061e+01,-6.634215e+00
0.014065,filtered_pd,-2.247928e+01,-6.634163e+00
0.014065,avc,-2.268330e+01,-6.628745e+00
0.014196,standard_pd,-2.205016e+01,-6.573304e+00
0.014196,filtered_pd,-2.206882e+01,-6.573251e+00
0.014196,avc,-2.226894e+01,-6.567884e+00
0.014327,standard_pd,-2.164721e+01,-6.512951e+00
0.014327,filtered_pd,-2.166587e+01,-6.512898e+00
0.014327,avc,-2.186216e+01,-6.507580e+00
0.014460,standard_pd,-2.125162e+01,-6.453152e+00
0.014460,filtered_pd,-2.127028e+01,-6.453098e+00
0.014460,avc,-2.146281e+01,-6.447830e+00
0.014594,standard_pd,-2.086325e+01,-6.393901e+00
0.014594,filtered_pd,-2.088191e+01,-6.393847e+00
0.014594,avc,-2.107076e+01,-6.388628e+00
0.014729,standard_pd,-2.048198e+01,-6.335194e+00
0.014729,filtered_pd,-2.050064e+01,-6.335139e+00
0.014729,avc,-2.068587e+01,-6.329969e+00
0.014865,standard_pd,-2.010768e+01,-6.277026e+00
0.014865,filtered_pd,-2.012634e+01,-6.276970e+00
0.014865,avc,-2.030801e+01,-6.271848e+00
0.015003,standard_pd,-1.974021e+01,-6.219391e+00
0.015003,filtered_pd,-1.975888e+01,-6.219335e+00
0.015003,avc,-1.993705e+01,-6.214260e+00
0.015142,standard_pd,-1.937946e+01,-6.162284e+00
0.015142,filtered_pd,-1.939812e+01,-6.162228e+00
0.015142,avc,-1.957288e+01,-6.157201e+00
0.015282,standard_pd,-1.902530e+01,-6.105702e+00
0.015282,filtered_pd,-1.904396e+01,-6.105645e+00
0.015282,avc,-1.921535e+01,-6.100665e+00
0.015424,standard_pd,-1.867761e+01,-6.049638e+00
0.015424,filtered_pd,-1.869627e+01,-6.049581e+00
0.015424,avc,-1.886436e+01,-6.044647e+00
0.015567,standard_pd,-1.833628e+01,-5.994089e+00
0.015567,filtered_pd,-1.835494e+01,-5.994031e+00
0.015567,avc,-1.851978e+01,-5.989143e+00
0.015711,standard_pd,-1.800117e+01,-5.939049e+00
0.015711,filtered_pd,-1.801984e+01,-5.938991e+00
0.015711,avc,-1.818150e+01,-5.934148e+00
0.015856,standard_pd,-1.767220e+01,-5.884514e+00
0.015856,filtered_pd,-1.769086e+01,-5.884455e+00
0.015856,avc,-1.784939e+01,-5.879658e+00
0.016003,standard_pd,-1.734923e+01,-5.830479e+00
0.016003,filtered_pd,-1.736789e+01,-5.830420e+00
0.016003,avc,-1.752336e+01,-5.825667e+00
0.016151,standard_pd,-1.703216e+01,-5.776940e+00
0.016151,filtered_pd,-1.705082e+01,-5.776880e+00
0.016151,avc,-1.720328e+01,-5.772172e+00
0.016301,standard_pd,-1.672089e+01,-5.723892e+00
0.016301,filtered_pd,-1.673955e+01,-5.723831e+00
0.016301,avc,-1.688905e+01,-5.719167e+00
0.016452,standard_pd,-1.641530e+01,-5.671330e+00
0.016452,filtered_pd,-1.643396e+01,-5.671269e+00
0.016452,avc,-1.658055e+01,-5.666648e+00
0.016604,standard_pd,-1.611529e+01,-5.619251e+00
0.016604,filtered_pd,-1.613395e+01,-5.619189e+00
0.016604,avc,-1.627770e+01,-5.614611e+00
0.016758,standard_pd,-1.582077e+01,-5.567649e+00
0.016758,filtered_pd,-1.583943e+01,-5.567586e+00
0.016758,avc,-1.598038e+01,-5.563051e+00
0.016913,standard_pd,-1.553163e+01,-5.516520e+00
0.016913,filtered_pd,-1.555029e+01,-5.516457e+00
0.016913,avc,-1.568849e+01,-5.511964e+00
0.017070,standard_pd,-1.524777e+01,-5.465860e+00
0.017070,filtered_pd,-1.526643e+01,-5.465797e+00
0.017070,avc,-1.540193e+01,-5.461346e+00
0.017228,standard_pd,-1.496909e+01,-5.415665e+00
0.017228,filtered_pd,-1.498776e+01,-5.415601e+00
0.017228,avc,-1.512061e+01,-5.411192e+00
0.017388,standard_pd,-1.469551e+01,-5.365930e+00
0.017388,filtered_pd,-1.471417e+01,-5.365865e+00
0.017388,avc,-1.484443e+01,-5.361498e+00
0.017549,standard_pd,-1.442693e+01,-5.316651e+00
0.017549,filtered_pd,-1.444559e+01,-5.316586e+00
0.017549,avc,-1.457330e+01,-5.312259e+00
0.017711,standard_pd,-1.416325e+01,-5.267825e+00
0.017711,filtered_pd,-1.418191e+01,-5.267759e+00
0.017711,avc,-1.430712e+01,-5.263472e+00
0.017875,standard_pd,-1.390439e+01,-5.219446e+00
0.017875,filtered_pd,-1.392305e+01,-5.219379e+00
0.017875,avc,-1.404580e+01,-5.215133e+00
0.018041,standard_pd,-1.365026e+01,-5.171510e+00
0.018041,filtered_pd,-1.366892e+01,-5.171443e+00
0.018041,avc,-1.378925e+01,-5.167236e+00
0.018208,standard_pd,-1.340078e+01,-5.124014e+00
0.018208,filtered_pd,-1.341944e+01,-5.123946e+00
0.018208,avc,-1.353740e+01,-5.119779e+00
0.018377,standard_pd,-1.315585e+01,-5.076954e+00
0.018377,filtered_pd,-1.317451e+01,-5.076886e+00
