frequency_hz,controller,S_mag_db,T_mag_db
0.014865,filtered_pd,-26.0769,0.4015
0.014865,avc,-26.1504,0.3986
0.015003,standard_pd,-25.9093,0.4088
0.015003,filtered_pd,-25.9171,0.4085
0.015003,avc,-25.9904,0.4055
0.015142,standard_pd,-25.7493,0.4158
0.015142,filtered_pd,-25.7572,0.4155
0.015142,avc,-25.8304,0.4125
0.015282,standard_pd,-25.5894,0.4230
0.015282,filtered_pd,-25.5974,0.4226
0.015282,avc,-25.6705,0.4196
0.015424,standard_pd,-25.4295,0.4302
0.015424,filtered_pd,-25.4376,0.4299
0.015424,avc,-25.5105,0.4268
0.015567,standard_pd,-25.2695,0.4376
0.015567,filtered_pd,-25.2779,0.4373
0.015567,avc,-25.3506,0.4341
0.015711,standard_pd,-25.1096,0.4451
0.015711,filtered_pd,-25.1181,0.4447
0.015711,avc,-25.1906,0.4416
0.015856,standard_pd,-24.9497,0.4527
0.015856,filtered_pd,-24.9584,0.4523
0.015856,avc,-25.0307,0.4491
0.016003,standard_pd,-24.7899,0.4604
0.016003,filtered_pd,-24.7987,0.4600
0.016003,avc,-24.8708,0.4568
0.016151,standard_pd,-24.6300,0.4683
0.016151,filtered_pd,-24.6389,0.4679
0.016151,avc,-24.7109,0.4646
0.016301,standard_pd,-24.4702,0.4763
0.016301,filtered_pd,-24.4793,0.4758
0.016301,avc,-24.5510,0.4725
0.016452,standard_pd,-24.3103,0.4843
0.016452,filtered_pd,-24.3196,0.4839
0.016452,avc,-24.3912,0.4806
0.016604,standard_pd,-24.1505,0.4926
0.016604,filtered_pd,-24.1599,0.4921
0.016604,avc,-24.2313,0.4887
0.016758,standard_pd,-23.9907,0.5009
0.016758,filtered_pd,-24.0003,0.5004
0.016758,avc,-24.0715,0.4970
0.016913,standard_pd,-23.8310,0.5093
0.016913,filtered_pd,-23.8407,0.5089
0.016913,avc,-23.9117,0.5054
0.017070,standard_pd,-23.6712,0.5179
0.017070,filtered_pd,-23.6811,0.5174
0.017070,avc,-23.7519,0.5139
