frequency_hz,controller,psd_n2m2_per_hz
6.250000,filtered_pd,5.467445e-06
6.640625,filtered_pd,3.816748e-06
7.031250,filtered_pd,2.691631e-06
7.421875,filtered_pd,1.953116e-06
7.812500,filtered_pd,1.428544e-06
8.203125,filtered_pd,1.069071e-06
8.593750,filtered_pd,8.056003e-07
8.984375,filtered_pd,6.182485e-07
9.375000,filtered_pd,4.775900e-07
9.765625,filtered_pd,3.742671e-07
10.156250,filtered_pd,2.952495e-07
10.546875,filtered_pd,2.354937e-07
10.937500,filtered_pd,1.891428e-07
11.328125,filtered_pd,1.531580e-07
11.718750,filtered_pd,1.249367e-07
12.109375,filtered_pd,1.025015e-07
12.500000,filtered_pd,8.475139e-08
12.890625,filtered_pd,7.033607e-08
13.281250,filtered_pd,5.884804e-08
13.671875,filtered_pd,4.933866e-08
14.062500,filtered_pd,4.171194e-08
14.453125,filtered_pd,3.529199e-08
14.843750,filtered_pd,3.011188e-08
15.234375,filtered_pd,2.568798e-08
15.625000,filtered_pd,2.209647e-08
16.015625,filtered_pd,1.899185e-08
16.406250,filtered_pd,1.645485e-08
16.796875,filtered_pd,1.424019e-08
17.187500,filtered_pd,1.241734e-08
17.578125,filtered_pd,1.081408e-08
17.968750,filtered_pd,9.483866e-09
18.359375,filtered_pd,8.307599e-09
18.750000,filtered_pd,7.322988e-09
19.140625,filtered_pd,6.449401e-09
19.531250,filtered_pd,5.711067e-09
19.921875,filtered_pd,5.054952e-09
20.312500,filtered_pd,4.494664e-09
20.703125,filtered_pd,3.996742e-09
21.093750,filtered_pd,3.566908e-09
21.484375,filtered_pd,3.185362e-09
21.875000,filtered_pd,2.852312e-09
22.265625,filtered_pd,2.557275e-09
22.656250,filtered_pd,2.296860e-09
23.046875,filtered_pd,2.066756e-09
23.437500,filtered_pd,1.861440e-09
23.828125,filtered_pd,1.680514e-09
24.218750,filtered_pd,1.517412e-09
24.609375,filtered_pd,1.374049e-09
25.000000,filtered_pd,1.243588e-09
25.390625,filtered_pd,1.129146e-09
25.781250,filtered_pd,1.024135e-09
26.171875,filtered_pd,9.321347e-10
26.562500,filtered_pd,8.471228e-10
26.953125,filtered_pd,7.726625e-10
27.343750,filtered_pd,7.034780e-10
27.734375,filtered_pd,6.428257e-10
28.125000,filtered_pd,5.862480e-10
28.515625,filtered_pd,5.365413e-10
28.906250,filtered_pd,4.900647e-10
29.296875,filtered_pd,4.490934e-10
29.687500,filtered_pd,4.107539e-10
30.078125,filtered_pd,3.768002e-10
30.468750,filtered_pd,3.450479e-10
30.859375,filtered_pd,3.167684e-10
31.250000,filtered_pd,2.903727e-10
31.640625,filtered_pd,2.667100e-10
32.031250,filtered_pd,2.446885e-10
32.421875,filtered_pd,2.248051e-10
32.812500,filtered_pd,2.063697e-10
33.203125,filtered_pd,1.895983e-10
33.593750,filtered_pd,1.741136e-10
33.984375,filtered_pd,1.599192e-10
34.375000,filtered_pd,1.468714e-10
34.765625,filtered_pd,1.348225e-10
35.156250,filtered_pd,1.237942e-10
35.546875,filtered_pd,1.135406e-10
35.937500,filtered_pd,1.041922e-10
36.328125,filtered_pd,9.544795e-11
36.718750,filtered_pd,8.750221e-11
37.109375,filtered_pd,8.003267e-11
37.500000,filtered_pd,7.326269e-11
37.890625,filtered_pd,6.687417e-11
38.281250,filtered_pd,6.109403e-11
38.671875,filtered_pd,5.562594e-11
39.062500,filtered_pd,5.068292e-11
39.453125,filtered_pd,4.600158e-11
39.843750,filtered_pd,4.177012e-11
40.234375,filtered_pd,3.776381e-11
40.625000,filtered_pd,3.414058e-11
41.015625,filtered_pd,3.071572e-11
41.406250,filtered_pd,2.761553e-11
41.796875,filtered_pd,2.469370e-11
42.187500,filtered_pd,2.204627e-11
42.578125,filtered_pd,1.956171e-11
42.968750,filtered_pd,1.730917e-11
43.359375,filtered_pd,1.520680e-11
43.750000,filtered_pd,1.330144e-11
44.140625,filtered_pd,1.153543e-11
44.531250,filtered_pd,9.938028e-12
44.921875,filtered_pd,8.470417e-12
45.312500,filtered_pd,7.148914e-12
45.703125,filtered_pd,5.948588e-12
46.093750,filtered_pd,4.877012e-12
46.484375,filtered_pd,3.918896e-12
46.875000,filtered_pd,3.076501e-12
47.265625,filtered_pd,2.340867e-12
47.656250,filtered_pd,1.711521e-12
48.046875,filtered_pd,1.183427e-12
48.437500,filtered_pd,7.551559e-13
48.828125,filtered_pd,4.240146e-13
49.218750,filtered_pd,1.886837e-13
49.609375,filtered_pd,4.793232e-14
50.000000,filtered_pd,5.372443e-16
0.000000,avc,1.078796e+00
0.390625,avc,5.708289e+01
0.781250,avc,3.136944e+00
1.171875,avc,1.822874e-01
1.562500,avc,2.116794e-02
1.953125,avc,7.915799e-03
2.343750,avc,2.134704e-03
2.734375,avc,8.283739e-04
3.125000,avc,3.620057e-04
3.515625,avc,1.783701e-04
3.906250,avc,9.327202e-05
4.296875,avc,5.282334e-05
4.687500,avc,3.096600e-05
5.078125,avc,1.924438e-05
5.468750,avc,1.221960e-05
5.859375,avc,8.115669e-06
6.250000,avc,5.467445e-06
6.640625,avc,3.816748e-06
7.031250,avc,2.691631e-06
7.421875,avc,1.953116e-06
7.812500,avc,1.428544e-06
8.203125,avc,1.069071e-06
8.593750,avc,8.056003e-07
8.984375,avc,6.182485e-07
9.375000,avc,4.775900e-07
9.765625,avc,3.742671e-07
10.156250,avc,2.952495e-07
10.546875,avc,2.354937e-07
10.937500,avc,1.891428e-07
11.328125,avc,1.531580e-07
11.718750,avc,1.249367e-07
12.109375,avc,1.025015e-07
12.500000,avc,8.475139e-08
12.890625,avc,7.033607e-08
13.281250,avc,5.884804e-08
13.671875,avc,4.933866e-08
14.062500,avc,4.171194e-08
14.453125,avc,3.529199e-08
14.843750,avc,3.011188e-08
15.234375,avc,2.568798e-08
15.625000,avc,2.209647e-08
16.015625,avc,1.899185e-08
16.406250,avc,1.645485e-08
16.796875,avc,1.424019e-08
17.187500,avc,1.241734e-08
17.578125,avc,1.081408e-08
17.968750,avc,9.483866e-09
18.359375,avc,8.307599e-09
18.750000,avc,7.322988e-09
19.140625,avc,6.449401e-09
19.531250,avc,5.711067e-09
19.921875,avc,5.054952e-09
