frequency_hz,method,psd_n2m2_per_hz
10.156250,zvd,2.399458e-03
10.546875,zvd,3.240054e-03
10.937500,zvd,7.791483e-04
11.328125,zvd,3.617405e-04
11.718750,zvd,1.353391e-04
12.109375,zvd,1.478987e-04
12.500000,zvd,9.893199e-04
12.890625,zvd,2.154348e-03
13.281250,zvd,8.597606e-04
13.671875,zvd,7.099078e-04
14.062500,zvd,2.216910e-04
14.453125,zvd,9.046305e-05
14.843750,zvd,2.943911e-04
15.234375,zvd,1.144119e-03
15.625000,zvd,7.259889e-04
16.015625,zvd,1.005417e-03
16.406250,zvd,3.574666e-04
16.796875,zvd,1.089000e-04
17.187500,zvd,6.690218e-05
17.578125,zvd,4.693874e-04
17.968750,zvd,4.523123e-04
18.359375,zvd,1.074545e-03
18.750000,zvd,4.989770e-04
19.140625,zvd,1.344165e-04
19.531250,zvd,5.131080e-05
19.921875,zvd,1.674925e-04
20.312500,zvd,1.988369e-04
20.703125,zvd,8.793243e-04
21.093750,zvd,5.777240e-04
21.484375,zvd,1.956545e-04
21.875000,zvd,1.069200e-04
22.265625,zvd,1.041989e-04
22.656250,zvd,7.033090e-05
23.046875,zvd,5.439631e-04
23.437500,zvd,5.319653e-04
23.828125,zvd,2.802954e-04
24.218750,zvd,2.029953e-04
24.609375,zvd,1.221459e-04
25.000000,zvd,5.590674e-05
25.390625,zvd,2.460979e-04
25.781250,zvd,3.789618e-04
26.171875,zvd,3.227745e-04
26.562500,zvd,3.277855e-04
26.953125,zvd,1.441360e-04
27.343750,zvd,8.243890e-05
27.734375,zvd,8.687555e-05
28.125000,zvd,2.104511e-04
28.515625,zvd,2.767356e-04
28.906250,zvd,4.292595e-04
29.296875,zvd,1.656668e-04
29.687500,zvd,1.023843e-04
30.078125,zvd,5.325734e-05
30.468750,zvd,1.132176e-04
30.859375,zvd,1.687380e-04
31.250000,zvd,4.414584e-04
31.640625,zvd,1.906626e-04
32.031250,zvd,1.227045e-04
32.421875,zvd,7.787078e-05
32.812500,zvd,1.026082e-04
33.203125,zvd,7.200256e-05
33.593750,zvd,3.501746e-04
33.984375,zvd,1.973805e-04
34.375000,zvd,1.640643e-04
34.765625,zvd,1.143038e-04
35.156250,zvd,1.303449e-04
35.546875,zvd,3.738356e-05
35.937500,zvd,2.129196e-04
36.328125,zvd,1.639094e-04
36.718750,zvd,2.130514e-04
37.109375,zvd,1.556082e-04
37.500000,zvd,1.454232e-04
37.890625,zvd,5.628257e-05
38.281250,zvd,1.105475e-04
38.671875,zvd,1.048179e-04
39.062500,zvd,2.272781e-04
39.453125,zvd,2.007050e-04
39.843750,zvd,1.378774e-04
40.234375,zvd,8.728725e-05
40.625000,zvd,8.112664e-05
41.015625,zvd,6.613944e-05
41.406250,zvd,1.827018e-04
41.796875,zvd,2.279305e-04
42.187500,zvd,1.268316e-04
42.578125,zvd,1.062885e-04
42.968750,zvd,1.022359e-04
43.359375,zvd,8.008189e-05
43.750000,zvd,1.052008e-04
44.140625,zvd,2.115000e-04
44.531250,zvd,1.217610e-04
44.921875,zvd,1.225249e-04
45.312500,zvd,1.290685e-04
45.703125,zvd,1.316104e-04
46.093750,zvd,4.864295e-05
46.484375,zvd,1.574192e-04
46.875000,zvd,1.089491e-04
47.265625,zvd,1.501271e-04
47.656250,zvd,1.395646e-04
48.046875,zvd,1.743692e-04
48.437500,zvd,4.440712e-05
48.828125,zvd,1.090106e-04
49.218750,zvd,7.703758e-05
49.609375,zvd,1.773104e-04
50.000000,zvd,7.019665e-05
0.000000,fourth,7.871665e-02
0.390625,fourth,1.395996e+00
0.781250,fourth,1.064306e-01
1.171875,fourth,4.175726e-03
1.562500,fourth,6.127183e-04
1.953125,fourth,1.445462e-04
2.343750,fourth,4.802160e-05
2.734375,fourth,1.803992e-05
3.125000,fourth,7.575538e-06
3.515625,fourth,4.043455e-06
3.906250,fourth,2.045276e-06
4.296875,fourth,1.076486e-06
4.687500,fourth,7.864943e-07
5.078125,fourth,4.267391e-07
5.468750,fourth,2.099749e-07
5.859375,fourth,1.973437e-07
6.250000,fourth,1.217367e-07
6.640625,fourth,7.816663e-08
7.031250,fourth,6.535613e-08
7.421875,fourth,4.110433e-08
7.812500,fourth,2.996734e-08
8.203125,fourth,2.630485e-08
8.593750,fourth,1.332473e-08
8.984375,fourth,1.463347e-08
9.375000,fourth,1.164553e-08
9.765625,fourth,7.433555e-09
10.156250,fourth,6.981395e-09
10.546875,fourth,5.218805e-09
10.937500,fourth,3.180205e-09
11.328125,fourth,3.971753e-09
11.718750,fourth,2.630863e-09
12.109375,fourth,2.152430e-09
12.500000,fourth,2.039319e-09
12.890625,fourth,1.420435e-09
13.281250,fourth,1.363042e-09
13.671875,fourth,1.027739e-09
14.062500,fourth,8.689236e-10
14.453125,fourth,7.763871e-10
14.843750,fourth,7.473785e-10
15.234375,fourth,5.098119e-10
15.625000,fourth,4.719119e-10
16.015625,fourth,4.176548e-10
16.406250,fourth,3.642581e-10
16.796875,fourth,3.068289e-10
17.187500,fourth,2.719916e-10
17.578125,fourth,2.325607e-10
17.968750,fourth,2.163562e-10
18.359375,fourth,1.784116e-10
18.750000,fourth,1.604143e-10
19.140625,fourth,1.359496e-10
19.531250,fourth,1.288949e-10
19.921875,fourth,1.086703e-10
20.312500,fourth,1.015521e-10
20.703125,fourth,8.251572e-11
21.093750,fourth,8.035689e-11
21.484375,fourth,7.462886e-11
21.875000,fourth,5.502977e-11
22.265625,fourth,5.789162e-11
22.656250,fourth,5.036384e-11
23.046875,fourth,4.536921e-11
23.437500,fourth,4.079500e-11
23.828125,fourth,3.725121e-11
24.218750,fourth,3.292335e-11
24.609375,fourth,3.252413e-11
25.000000,fourth,2.135602e-11
25.390625,fourth,2.814502e-11
25.781250,fourth,2.262065e-11
26.171875,fourth,1.953025e-11
26.562500,fourth,1.974123e-11
26.953125,fourth,1.641584e-11
27.343750,fourth,1.556978e-11
27.734375,fourth,1.424981e-11
28.125000,fourth,1.232056e-11
28.515625,fourth,1.167079e-11
28.906250,fourth,1.169517e-11
29.296875,fourth,9.488590e-12
29.687500,fourth,9.108309e-12
30.078125,fourth,8.155639e-12
30.468750,fourth,7.270082e-12
30.859375,fourth,7.474606e-12
31.250000,fourth,6.208248e-12
31.640625,fourth,5.649960e-12
32.031250,fourth,5.889432e-12
32.421875,fourth,4.769341e-12
32.812500,fourth,4.931668e-12
33.203125,fourth,3.767357e-12
33.593750,fourth,3.967380e-12
33.984375,fourth,3.433346e-12
34.375000,fourth,3.664776e-12
34.765625,fourth,2.817388e-12
35.156250,fourth,2.624293e-12
