factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_damping_scale,14,0.7174,unshaped_standard_pd,0.589122,0.0204051,15.7087,7.47297
modal_damping_scale,14,0.7174,unshaped_filtered_pd,0.512252,0.017576,16.0631,7.4794
modal_damping_scale,14,0.7174,fourth_standard_pd,0.0524109,0.00134087,16.6996,8.11935
modal_damping_scale,14,0.7174,fourth_filtered_pd,0.0496288,0.00104673,16.6836,8.11996
modal_damping_scale,15,0.844497,unshaped_standard_pd,0.57181,0.0197916,15.652,7.47257
modal_damping_scale,15,0.844497,unshaped_filtered_pd,0.505639,0.0173195,16.0339,7.47879
modal_damping_scale,15,0.844497,fourth_standard_pd,0.0522266,0.0013467,16.7006,8.11933
modal_damping_scale,15,0.844497,fourth_filtered_pd,0.0496292,0.00106038,16.6852,8.11994
modal_damping_scale,16,0.785813,unshaped_standard_pd,0.579579,0.0200671,15.6779,7.47275
modal_damping_scale,16,0.785813,unshaped_filtered_pd,0.508661,0.0174363,16.0474,7.47907
modal_damping_scale,16,0.785813,fourth_standard_pd,0.0523114,0.00134402,16.7002,8.11934
modal_damping_scale,16,0.785813,fourth_filtered_pd,0.0496283,0.00105408,16.6845,8.11995
modal_damping_scale,17,1.16606,unshaped_standard_pd,0.535167,0.0184811,15.5195,7.47169
modal_damping_scale,17,1.16606,unshaped_filtered_pd,0.490061,0.0167221,15.9578,7.47741
modal_damping_scale,17,1.16606,fourth_standard_pd,0.0517954,0.00136146,16.7029,8.11928
modal_damping_scale,17,1.16606,fourth_filtered_pd,0.0496341,0.00109375,16.6891,8.11989
modal_damping_scale,18,0.818923,unshaped_standard_pd,0.575148,0.0199101,15.6632,7.47265
modal_damping_scale,18,0.818923,unshaped_filtered_pd,0.506952,0.0173701,16.0398,7.47891
modal_damping_scale,18,0.818923,fourth_standard_pd,0.0522636,0.00134557,16.7004,8.11933
modal_damping_scale,18,0.818923,fourth_filtered_pd,0.0496288,0.00105764,16.6849,8.11994
modal_damping_scale,19,1.24638,unshaped_standard_pd,0.527306,0.018198,15.4886,7.4715
modal_damping_scale,19,1.24638,unshaped_filtered_pd,0.486364,0.0165825,15.9384,7.47709
