frequency_hz,method,psd_n2m2_per_hz
8.593750,unshaped,6.505930e-03
8.642578,unshaped,6.502490e-03
8.691406,unshaped,6.429613e-03
8.740234,unshaped,6.293442e-03
8.789063,unshaped,6.241697e-03
8.837891,unshaped,6.236104e-03
8.886719,unshaped,6.140221e-03
8.935547,unshaped,6.021359e-03
8.984375,unshaped,5.998030e-03
9.033203,unshaped,5.979094e-03
9.082031,unshaped,5.867580e-03
9.130859,unshaped,5.774450e-03
9.179688,unshaped,5.769801e-03
9.228516,unshaped,5.730435e-03
9.277344,unshaped,5.613703e-03
9.326172,unshaped,5.550107e-03
9.375000,unshaped,5.552517e-03
9.423828,unshaped,5.490657e-03
9.472656,unshaped,5.379931e-03
9.521484,unshaped,5.344711e-03
9.570313,unshaped,5.342825e-03
9.619141,unshaped,5.261380e-03
9.667969,unshaped,5.166527e-03
9.716797,unshaped,5.154110e-03
9.765625,unshaped,5.138816e-03
9.814453,unshaped,5.044701e-03
9.863281,unshaped,4.972505e-03
9.912109,unshaped,4.974183e-03
9.960938,unshaped,4.940066e-03
10.009766,unshaped,4.842569e-03
10.058594,unshaped,4.795719e-03
10.107422,unshaped,4.801384e-03
10.156250,unshaped,4.747419e-03
10.205078,unshaped,4.656270e-03
10.253906,unshaped,4.633153e-03
10.302734,unshaped,4.633174e-03
10.351563,unshaped,4.562572e-03
10.400391,unshaped,4.486088e-03
10.449219,unshaped,4.481361e-03
10.498047,unshaped,4.468263e-03
10.546875,unshaped,4.387542e-03
10.595703,unshaped,4.331191e-03
10.644531,unshaped,4.336961e-03
10.693359,unshaped,4.306626e-03
10.742188,unshaped,4.224134e-03
10.791016,unshaped,4.189726e-03
10.839844,unshaped,4.197115e-03
10.888672,unshaped,4.149288e-03
10.937500,unshaped,4.073506e-03
10.986328,unshaped,4.059099e-03
11.035156,unshaped,4.059888e-03
11.083984,unshaped,3.997948e-03
11.132813,unshaped,3.935898e-03
11.181641,unshaped,3.936379e-03
11.230469,unshaped,3.924441e-03
11.279297,unshaped,3.854506e-03
11.328125,unshaped,3.810547e-03
11.376953,unshaped,3.818739e-03
11.425781,unshaped,3.791014e-03
11.474609,unshaped,3.720605e-03
11.523438,unshaped,3.695804e-03
11.572266,unshaped,3.703870e-03
11.621094,unshaped,3.660727e-03
11.669922,unshaped,3.597259e-03
11.718750,unshaped,3.589395e-03
11.767578,unshaped,3.590289e-03
11.816406,unshaped,3.535226e-03
11.865234,unshaped,3.484633e-03
11.914063,unshaped,3.488791e-03
11.962891,unshaped,3.477488e-03
12.011719,unshaped,3.416265e-03
12.060547,unshaped,3.381997e-03
12.109375,unshaped,3.391605e-03
12.158203,unshaped,3.365892e-03
12.207031,unshaped,3.305312e-03
12.255859,unshaped,3.287844e-03
12.304688,unshaped,3.295950e-03
12.353516,unshaped,3.256666e-03
12.402344,unshaped,3.203229e-03
12.451172,unshaped,3.200145e-03
12.500000,unshaped,3.200699e-03
12.548828,unshaped,3.151385e-03
12.597656,unshaped,3.110095e-03
12.646484,unshaped,3.116688e-03
12.695313,unshaped,3.105594e-03
12.744141,unshaped,3.051661e-03
12.792969,unshaped,3.025190e-03
12.841797,unshaped,3.035433e-03
12.890625,unshaped,3.011190e-03
12.939453,unshaped,2.958795e-03
12.988281,unshaped,2.947115e-03
13.037109,unshaped,2.954830e-03
13.085938,unshaped,2.918659e-03
13.134766,unshaped,2.873504e-03
13.183594,unshaped,2.874043e-03
13.232422,unshaped,2.874031e-03
13.281250,unshaped,2.829489e-03
13.330078,unshaped,2.795784e-03
13.378906,unshaped,2.804025e-03
13.427734,unshaped,2.792969e-03
13.476563,unshaped,2.745146e-03
13.525391,unshaped,2.724911e-03
13.574219,unshaped,2.735313e-03
13.623047,unshaped,2.712289e-03
13.671875,unshaped,2.666769e-03
13.720703,unshaped,2.659576e-03
13.769531,unshaped,2.666635e-03
13.818359,unshaped,2.633155e-03
13.867188,unshaped,2.594937e-03
13.916016,unshaped,2.598113e-03
13.964844,unshaped,2.597371e-03
14.013672,unshaped,2.556964e-03
14.062500,unshaped,2.529566e-03
14.111328,unshaped,2.538794e-03
14.160156,unshaped,2.527605e-03
14.208984,unshaped,2.485047e-03
14.257813,unshaped,2.469927e-03
14.306641,unshaped,2.480111e-03
14.355469,unshaped,2.458043e-03
14.404297,unshaped,2.418392e-03
14.453125,unshaped,2.414784e-03
14.501953,unshaped,2.421022e-03
14.550781,unshaped,2.389821e-03
14.599609,unshaped,2.357458e-03
14.648438,unshaped,2.362613e-03
14.697266,unshaped,2.361093e-03
14.746094,unshaped,2.324244e-03
14.794922,unshaped,2.302087e-03
14.843750,unshaped,2.311877e-03
14.892578,unshaped,2.300526e-03
14.941406,unshaped,2.262509e-03
14.990234,unshaped,2.251542e-03
15.039063,unshaped,2.261278e-03
15.087891,unshaped,2.240066e-03
15.136719,unshaped,2.205467e-03
15.185547,unshaped,2.204650e-03
15.234375,unshaped,2.209970e-03
15.283203,unshaped,2.180816e-03
