frequency_hz,controller,L_real,L_imag
0.015424,standard_pd,-1.305285e+02,-2.264887e+01
0.015424,filtered_pd,-1.305940e+02,-3.397317e+01
0.015567,standard_pd,-1.281434e+02,-2.244096e+01
0.015567,filtered_pd,-1.282089e+02,-3.366130e+01
0.015711,standard_pd,-1.258019e+02,-2.223496e+01
0.015711,filtered_pd,-1.258674e+02,-3.335230e+01
0.015856,standard_pd,-1.235031e+02,-2.203085e+01
0.015856,filtered_pd,-1.235686e+02,-3.304613e+01
0.016003,standard_pd,-1.212464e+02,-2.182861e+01
0.016003,filtered_pd,-1.213119e+02,-3.274277e+01
0.016151,standard_pd,-1.190309e+02,-2.162822e+01
0.016151,filtered_pd,-1.190963e+02,-3.244219e+01
0.016301,standard_pd,-1.168558e+02,-2.142968e+01
0.016301,filtered_pd,-1.169213e+02,-3.214437e+01
0.016452,standard_pd,-1.147205e+02,-2.123295e+01
0.016452,filtered_pd,-1.147860e+02,-3.184928e+01
0.016604,standard_pd,-1.126242e+02,-2.103803e+01
0.016604,filtered_pd,-1.126897e+02,-3.155690e+01
0.016758,standard_pd,-1.105662e+02,-2.084490e+01
0.016758,filtered_pd,-1.106317e+02,-3.126720e+01
0.016913,standard_pd,-1.085458e+02,-2.065354e+01
0.016913,filtered_pd,-1.086113e+02,-3.098016e+01
0.017070,standard_pd,-1.065623e+02,-2.046393e+01
0.017070,filtered_pd,-1.066278e+02,-3.069575e+01
0.017228,standard_pd,-1.046151e+02,-2.027607e+01
0.017228,filtered_pd,-1.046806e+02,-3.041395e+01
0.017388,standard_pd,-1.027034e+02,-2.008993e+01
0.017388,filtered_pd,-1.027689e+02,-3.013474e+01
0.017549,standard_pd,-1.008267e+02,-1.990549e+01
0.017549,filtered_pd,-1.008922e+02,-2.985808e+01
0.017711,standard_pd,-9.898425e+01,-1.972275e+01
0.017711,filtered_pd,-9.904974e+01,-2.958397e+01
0.017875,standard_pd,-9.717546e+01,-1.954169e+01
0.017875,filtered_pd,-9.724095e+01,-2.931237e+01
0.018041,standard_pd,-9.539972e+01,-1.936228e+01
0.018041,filtered_pd,-9.546521e+01,-2.904326e+01
0.018208,standard_pd,-9.365642e+01,-1.918452e+01
0.018208,filtered_pd,-9.372191e+01,-2.877662e+01
0.018377,standard_pd,-9.194497e+01,-1.900840e+01
0.018377,filtered_pd,-9.201046e+01,-2.851243e+01
0.018547,standard_pd,-9.026479e+01,-1.883388e+01
0.018547,filtered_pd,-9.033028e+01,-2.825066e+01
0.018719,standard_pd,-8.861531e+01,-1.866097e+01
0.018719,filtered_pd,-8.868080e+01,-2.799129e+01
0.018892,standard_pd,-8.699596e+01,-1.848965e+01
0.018892,filtered_pd,-8.706145e+01,-2.773430e+01
0.019067,standard_pd,-8.540620e+01,-1.831989e+01
0.019067,filtered_pd,-8.547169e+01,-2.747967e+01
0.019244,standard_pd,-8.384549e+01,-1.815170e+01
0.019244,filtered_pd,-8.391098e+01,-2.722738e+01
0.019422,standard_pd,-8.231329e+01,-1.798505e+01
0.019422,filtered_pd,-8.237878e+01,-2.697739e+01
0.019602,standard_pd,-8.080908e+01,-1.781992e+01
0.019602,filtered_pd,-8.087457e+01,-2.672971e+01
0.019783,standard_pd,-7.933235e+01,-1.765631e+01
0.019783,filtered_pd,-7.939784e+01,-2.648429e+01
0.019966,standard_pd,-7.788261e+01,-1.749420e+01
0.019966,filtered_pd,-7.794809e+01,-2.624112e+01
0.020151,standard_pd,-7.645935e+01,-1.733358e+01
0.020151,filtered_pd,-7.652484e+01,-2.600019e+01
0.020338,standard_pd,-7.506209e+01,-1.717443e+01
0.020338,filtered_pd,-7.512758e+01,-2.576146e+01
0.020526,standard_pd,-7.369036e+01,-1.701674e+01
0.020526,filtered_pd,-7.375585e+01,-2.552493e+01
0.020716,standard_pd,-7.234370e+01,-1.686050e+01
0.020716,filtered_pd,-7.240919e+01,-2.529056e+01
0.020908,standard_pd,-7.102164e+01,-1.670569e+01
0.020908,filtered_pd,-7.108712e+01,-2.505835e+01
0.021102,standard_pd,-6.972373e+01,-1.655230e+01
0.021102,filtered_pd,-6.978922e+01,-2.482826e+01
0.021297,standard_pd,-6.844953e+01,-1.640032e+01
0.021297,filtered_pd,-6.851502e+01,-2.460029e+01
0.021495,standard_pd,-6.719862e+01,-1.624973e+01
0.021495,filtered_pd,-6.726410e+01,-2.437440e+01
0.021694,standard_pd,-6.597056e+01,-1.610052e+01
0.021694,filtered_pd,-6.603604e+01,-2.415059e+01
0.021895,standard_pd,-6.476493e+01,-1.595269e+01
0.021895,filtered_pd,-6.483042e+01,-2.392883e+01
0.022098,standard_pd,-6.358134e+01,-1.580620e+01
0.022098,filtered_pd,-6.364682e+01,-2.370911e+01
0.022302,standard_pd,-6.241936e+01,-1.566106e+01
0.022302,filtered_pd,-6.248485e+01,-2.349140e+01
0.022509,standard_pd,-6.127862e+01,-1.551726e+01
0.022509,filtered_pd,-6.134411e+01,-2.327568e+01
0.022717,standard_pd,-6.015872e+01,-1.537477e+01
0.022717,filtered_pd,-6.022420e+01,-2.306195e+01
0.022928,standard_pd,-5.905928e+01,-1.523359e+01
0.022928,filtered_pd,-5.912476e+01,-2.285017e+01
0.023140,standard_pd,-5.797993e+01,-1.509370e+01
0.023140,filtered_pd,-5.804541e+01,-2.264034e+01
0.023354,standard_pd,-5.692029e+01,-1.495510e+01
0.023354,filtered_pd,-5.698577e+01,-2.243243e+01
0.023571,standard_pd,-5.588002e+01,-1.481776e+01
0.023571,filtered_pd,-5.594550e+01,-2.222643e+01
0.023789,standard_pd,-5.485875e+01,-1.468169e+01
0.023789,filtered_pd,-5.492423e+01,-2.202232e+01
0.024009,standard_pd,-5.385614e+01,-1.454686e+01
0.024009,filtered_pd,-5.392162e+01,-2.182008e+01
0.024232,standard_pd,-5.287185e+01,-1.441327e+01
0.024232,filtered_pd,-5.293733e+01,-2.161969e+01
0.024456,standard_pd,-5.190554e+01,-1.428091e+01
0.024456,filtered_pd,-5.197102e+01,-2.142115e+01
0.024683,standard_pd,-5.095688e+01,-1.414976e+01
0.024683,filtered_pd,-5.102236e+01,-2.122442e+01
0.024911,standard_pd,-5.002556e+01,-1.401981e+01
0.024911,filtered_pd,-5.009104e+01,-2.102950e+01
0.025142,standard_pd,-4.911125e+01,-1.389106e+01
0.025142,filtered_pd,-4.917673e+01,-2.083636e+01
0.025375,standard_pd,-4.821365e+01,-1.376348e+01
0.025375,filtered_pd,-4.827913e+01,-2.064500e+01
0.025610,standard_pd,-4.733245e+01,-1.363708e+01
0.025610,filtered_pd,-4.739793e+01,-2.045539e+01
0.025847,standard_pd,-4.646735e+01,-1.351183e+01
0.025847,filtered_pd,-4.653282e+01,-2.026752e+01
0.026087,standard_pd,-4.561805e+01,-1.338774e+01
0.026087,filtered_pd,-4.568352e+01,-2.008137e+01
0.026328,standard_pd,-4.478427e+01,-1.326478e+01
0.026328,filtered_pd,-4.484974e+01,-1.989693e+01
0.026572,standard_pd,-4.396572e+01,-1.314294e+01
0.026572,filtered_pd,-4.403119e+01,-1.971418e+01
0.026818,standard_pd,-4.316213e+01,-1.302223e+01
0.026818,filtered_pd,-4.322760e+01,-1.953310e+01
0.027067,standard_pd,-4.237321e+01,-1.290262e+01
0.027067,filtered_pd,-4.243869e+01,-1.935369e+01
0.027317,standard_pd,-4.159872e+01,-1.278411e+01
0.027317,filtered_pd,-4.166419e+01,-1.917592e+01
0.027570,standard_pd,-4.083837e+01,-1.266669e+01
0.027570,filtered_pd,-4.090384e+01,-1.899978e+01
0.027826,standard_pd,-4.009191e+01,-1.255034e+01
0.027826,filtered_pd,-4.015738e+01,-1.882526e+01
0.028083,standard_pd,-3.935910e+01,-1.243506e+01
0.028083,filtered_pd,-3.942457e+01,-1.865234e+01
0.028343,standard_pd,-3.863967e+01,-1.232083e+01
0.028343,filtered_pd,-3.870513e+01,-1.848100e+01
0.028606,standard_pd,-3.793338e+01,-1.220766e+01
0.028606,filtered_pd,-3.799885e+01,-1.831123e+01
0.028871,standard_pd,-3.724000e+01,-1.209552e+01
0.028871,filtered_pd,-3.730547e+01,-1.814302e+01
0.029138,standard_pd,-3.655929e+01,-1.198441e+01
0.029138,filtered_pd,-3.662475e+01,-1.797635e+01
0.029408,standard_pd,-3.589101e+01,-1.187432e+01
0.029408,filtered_pd,-3.595647e+01,-1.781121e+01
0.029681,standard_pd,-3.523494e+01,-1.176523e+01
0.029681,filtered_pd,-3.530041e+01,-1.764758e+01
0.029955,standard_pd,-3.459086e+01,-1.165715e+01
0.029955,filtered_pd,-3.465632e+01,-1.748546e+01
0.030233,standard_pd,-3.395855e+01,-1.155006e+01
0.030233,filtered_pd,-3.402401e+01,-1.732482e+01
0.030513,standard_pd,-3.333779e+01,-1.144395e+01
0.030513,filtered_pd,-3.340325e+01,-1.716565e+01
0.030796,standard_pd,-3.272837e+01,-1.133881e+01
0.030796,filtered_pd,-3.279383e+01,-1.700794e+01
0.031081,standard_pd,-3.213008e+01,-1.123464e+01
0.031081,filtered_pd,-3.219554e+01,-1.685168e+01
0.031369,standard_pd,-3.154273e+01,-1.113142e+01
0.031369,filtered_pd,-3.160819e+01,-1.669684e+01
0.031659,standard_pd,-3.096610e+01,-1.102914e+01
0.031659,filtered_pd,-3.103156e+01,-1.654343e+01
0.031952,standard_pd,-3.040001e+01,-1.092781e+01
0.031952,filtered_pd,-3.046547e+01,-1.639143e+01
0.032248,standard_pd,-2.984427e+01,-1.082740e+01
0.032248,filtered_pd,-2.990972e+01,-1.624081e+01
0.032547,standard_pd,-2.929867e+01,-1.072792e+01
