factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
inertia_scale,14,0.966049,fourth_filtered_pd,0.0497116,0.00108365,16.3233,7.94139
inertia_scale,15,0.836343,unshaped_standard_pd,0.541281,0.0186874,14.2194,6.68041
inertia_scale,15,0.836343,unshaped_filtered_pd,0.493427,0.0168752,14.4522,6.68651
inertia_scale,15,0.836343,fourth_standard_pd,0.0527522,0.0014428,14.9457,7.25878
inertia_scale,15,0.836343,fourth_filtered_pd,0.0500213,0.00111237,14.9334,7.25938
inertia_scale,16,1.03275,unshaped_standard_pd,0.554386,0.0191741,15.8586,7.63058
inertia_scale,16,1.03275,unshaped_filtered_pd,0.498304,0.0170347,16.2982,7.63653
inertia_scale,16,1.03275,fourth_standard_pd,0.0518725,0.00133793,17.0532,8.29151
inertia_scale,16,1.03275,fourth_filtered_pd,0.0495543,0.00107029,17.0381,8.29213
inertia_scale,17,0.73829,unshaped_standard_pd,0.529882,0.0182821,13.3923,6.20615
inertia_scale,17,0.73829,unshaped_filtered_pd,0.488349,0.0167041,13.4875,6.21232
inertia_scale,17,0.73829,fourth_standard_pd,0.0532151,0.00150542,13.8933,6.7432
inertia_scale,17,0.73829,fourth_filtered_pd,0.0502862,0.00113829,13.8824,6.7438
inertia_scale,18,1.19658,unshaped_standard_pd,0.557973,0.019322,17.2154,8.42334
inertia_scale,18,1.19658,unshaped_filtered_pd,0.498408,0.0170315,17.7821,8.4291
inertia_scale,18,1.19658,fourth_standard_pd,0.0512296,0.00126713,18.8114,9.15294
inertia_scale,18,1.19658,fourth_filtered_pd,0.0491923,0.00104121,18.7939,9.15356
inertia_scale,19,1.079,unshaped_standard_pd,0.555993,0.0192361,16.2423,7.85436
inertia_scale,19,1.079,unshaped_filtered_pd,0.498645,0.0170442,16.7222,7.86025
inertia_scale,19,1.079,fourth_standard_pd,0.0516819,0.0013166,17.5495,8.53469
inertia_scale,19,1.079,fourth_filtered_pd,0.0494486,0.00106158,17.5337,8.5353
inertia_scale,20,1.15485,unshaped_standard_pd,0.557604,0.0193024,16.8697,8.22141
inertia_scale,20,1.15485,unshaped_filtered_pd,0.498635,0.0170415,17.4088,8.22722
inertia_scale,20,1.15485,fourth_standard_pd,0.0513847,0.00128396,18.3636,8.93354
inertia_scale,20,1.15485,fourth_filtered_pd,0.0492807,0.00104815,18.3467,8.93416
inertia_scale,21,0.912716,unshaped_standard_pd,0.547752,0.0189237,14.8586,7.04985
inertia_scale,21,0.912716,unshaped_filtered_pd,0.496079,0.016963,15.1822,7.0559
inertia_scale,21,0.912716,fourth_standard_pd,0.0523984,0.00139905,15.7652,7.66035
inertia_scale,21,0.912716,fourth_filtered_pd,0.0498418,0.00109512,15.7518,7.66096
inertia_scale,22,1.28242,unshaped_standard_pd,0.557873,0.0193305,17.9247,8.83876
inertia_scale,22,1.28242,unshaped_filtered_pd,0.497476,0.0169949,18.547,8.84442
inertia_scale,22,1.28242,fourth_standard_pd,0.0509292,0.00123484,19.7329,9.60429
inertia_scale,22,1.28242,fourth_filtered_pd,0.0490226,0.00102803,19.714,9.60492
inertia_scale,23,1.23587,unshaped_standard_pd,0.558118,0.0193309,17.5397,8.6135
inertia_scale,23,1.23587,unshaped_filtered_pd,0.498073,0.0170172,18.1338,8.61921
inertia_scale,23,1.23587,fourth_standard_pd,0.0510887,0.00125197,19.2332,9.35955
inertia_scale,23,1.23587,fourth_filtered_pd,0.0491125,0.001035,19.2151,9.36018
inertia_scale,24,1.16703,unshaped_standard_pd,0.557741,0.0193093,16.9702,8.28034
inertia_scale,24,1.16703,unshaped_filtered_pd,0.498585,0.0170391,17.5182,8.28614
inertia_scale,24,1.16703,fourth_standard_pd,0.0513386,0.00127895,18.4943,8.99757
inertia_scale,24,1.16703,fourth_filtered_pd,0.0492544,0.00104609,18.4772,8.99819
inertia_scale,25,0.816783,unshaped_standard_pd,0.539317,0.0186161,14.0558,6.58579
inertia_scale,25,0.816783,unshaped_filtered_pd,0.492569,0.0168466,14.2627,6.59192
inertia_scale,25,0.816783,fourth_standard_pd,0.0528443,0.00145468,14.7358,7.15593
inertia_scale,25,0.816783,fourth_filtered_pd,0.0500762,0.00111739,14.7238,7.15653
inertia_scale,26,0.980033,unshaped_standard_pd,0.551954,0.019081,15.4206,7.37552
inertia_scale,26,0.980033,unshaped_filtered_pd,0.497618,0.0170121,15.8124,7.38151
inertia_scale,26,0.980033,fourth_standard_pd,0.0520976,0.00136369,16.4875,8.01431
inertia_scale,26,0.980033,fourth_filtered_pd,0.0496781,0.00108076,16.4732,8.01492
inertia_scale,27,0.726282,unshaped_standard_pd,0.528228,0.018224,13.2908,6.14808
