frequency_hz,controller,S_mag_db,T_mag_db
0.017549,filtered_pd,-38.6688,0.0965
0.017711,standard_pd,-38.3010,0.1030
0.017711,filtered_pd,-38.5136,0.0982
0.017875,standard_pd,-38.1421,0.1048
0.017875,filtered_pd,-38.3584,0.0998
0.018041,standard_pd,-37.9832,0.1067
0.018041,filtered_pd,-38.2034,0.1015
0.018208,standard_pd,-37.8243,0.1086
0.018208,filtered_pd,-38.0484,0.1033
0.018377,standard_pd,-37.6654,0.1106
0.018377,filtered_pd,-37.8936,0.1050
0.018547,standard_pd,-37.5066,0.1125
0.018547,filtered_pd,-37.7388,0.1068
0.018719,standard_pd,-37.3478,0.1146
0.018719,filtered_pd,-37.5841,0.1086
0.018892,standard_pd,-37.1890,0.1166
0.018892,filtered_pd,-37.4296,0.1105
0.019067,standard_pd,-37.0303,0.1187
0.019067,filtered_pd,-37.2751,0.1124
0.019244,standard_pd,-36.8715,0.1208
0.019244,filtered_pd,-37.1207,0.1143
0.019422,standard_pd,-36.7128,0.1230
0.019422,filtered_pd,-36.9664,0.1162
0.019602,standard_pd,-36.5542,0.1252
0.019602,filtered_pd,-36.8122,0.1181
0.019783,standard_pd,-36.3955,0.1274
0.019783,filtered_pd,-36.6582,0.1201
0.019966,standard_pd,-36.2369,0.1297
0.019966,filtered_pd,-36.5042,0.1221
0.020151,standard_pd,-36.0783,0.1320
0.020151,filtered_pd,-36.3503,0.1242
0.020338,standard_pd,-35.9197,0.1343
0.020338,filtered_pd,-36.1966,0.1263
0.020526,standard_pd,-35.7612,0.1367
0.020526,filtered_pd,-36.0429,0.1284
0.020716,standard_pd,-35.6027,0.1392
0.020716,filtered_pd,-35.8894,0.1305
0.020908,standard_pd,-35.4442,0.1416
0.020908,filtered_pd,-35.7360,0.1327
0.021102,standard_pd,-35.2858,0.1441
0.021102,filtered_pd,-35.5826,0.1349
0.021297,standard_pd,-35.1274,0.1467
0.021297,filtered_pd,-35.4295,0.1371
0.021495,standard_pd,-34.9690,0.1493
0.021495,filtered_pd,-35.2764,0.1394
0.021694,standard_pd,-34.8107,0.1519
0.021694,filtered_pd,-35.1234,0.1417
0.021895,standard_pd,-34.6524,0.1546
0.021895,filtered_pd,-34.9706,0.1440
0.022098,standard_pd,-34.4941,0.1574
0.022098,filtered_pd,-34.8179,0.1464
0.022302,standard_pd,-34.3359,0.1601
0.022302,filtered_pd,-34.6653,0.1488
0.022509,standard_pd,-34.1777,0.1630
0.022509,filtered_pd,-34.5129,0.1512
0.022717,standard_pd,-34.0195,0.1658
0.022717,filtered_pd,-34.3606,0.1537
0.022928,standard_pd,-33.8614,0.1688
0.022928,filtered_pd,-34.2084,0.1562
0.023140,standard_pd,-33.7033,0.1717
0.023140,filtered_pd,-34.0563,0.1587
0.023354,standard_pd,-33.5452,0.1747
0.023354,filtered_pd,-33.9044,0.1613
0.023571,standard_pd,-33.3872,0.1778
0.023571,filtered_pd,-33.7526,0.1639
0.023789,standard_pd,-33.2293,0.1809
0.023789,filtered_pd,-33.6010,0.1665
0.024009,standard_pd,-33.0713,0.1841
0.024009,filtered_pd,-33.4495,0.1692
0.024232,standard_pd,-32.9134,0.1873
0.024232,filtered_pd,-33.2982,0.1719
0.024456,standard_pd,-32.7556,0.1906
0.024456,filtered_pd,-33.1470,0.1747
0.024683,standard_pd,-32.5978,0.1939
0.024683,filtered_pd,-32.9959,0.1775
0.024911,standard_pd,-32.4400,0.1973
0.024911,filtered_pd,-32.8450,0.1803
0.025142,standard_pd,-32.2823,0.2007
0.025142,filtered_pd,-32.6943,0.1832
0.025375,standard_pd,-32.1247,0.2042
0.025375,filtered_pd,-32.5437,0.1861
0.025610,standard_pd,-31.9670,0.2077
0.025610,filtered_pd,-32.3932,0.1890
0.025847,standard_pd,-31.8095,0.2113
0.025847,filtered_pd,-32.2430,0.1920
0.026087,standard_pd,-31.6520,0.2150
0.026087,filtered_pd,-32.0929,0.1950
0.026328,standard_pd,-31.4945,0.2187
0.026328,filtered_pd,-31.9429,0.1980
0.026572,standard_pd,-31.3371,0.2225
0.026572,filtered_pd,-31.7931,0.2011
0.026818,standard_pd,-31.1797,0.2263
0.026818,filtered_pd,-31.6435,0.2042
0.027067,standard_pd,-31.0224,0.2302
0.027067,filtered_pd,-31.4941,0.2074
0.027317,standard_pd,-30.8651,0.2342
0.027317,filtered_pd,-31.3448,0.2106
0.027570,standard_pd,-30.7079,0.2382
0.027570,filtered_pd,-31.1957,0.2138
0.027826,standard_pd,-30.5507,0.2423
0.027826,filtered_pd,-31.0468,0.2171
0.028083,standard_pd,-30.3936,0.2464
0.028083,filtered_pd,-30.8981,0.2204
0.028343,standard_pd,-30.2366,0.2506
0.028343,filtered_pd,-30.7496,0.2238
0.028606,standard_pd,-30.0796,0.2549
0.028606,filtered_pd,-30.6012,0.2272
0.028871,standard_pd,-29.9227,0.2592
0.028871,filtered_pd,-30.4530,0.2306
0.029138,standard_pd,-29.7658,0.2637
0.029138,filtered_pd,-30.3051,0.2341
0.029408,standard_pd,-29.6090,0.2681
0.029408,filtered_pd,-30.1573,0.2376
0.029681,standard_pd,-29.4523,0.2727
