time_s,method,displacement_m
1.690000,unshaped,-2.858490e-03
1.700000,unshaped,-2.714353e-03
1.710000,unshaped,-2.562414e-03
1.720000,unshaped,-2.402378e-03
1.730000,unshaped,-2.234007e-03
1.740000,unshaped,-2.057121e-03
1.750000,unshaped,-1.871606e-03
1.760000,unshaped,-1.677409e-03
1.770000,unshaped,-1.474545e-03
1.780000,unshaped,-1.263093e-03
1.790000,unshaped,-1.043199e-03
1.800000,unshaped,-8.150758e-04
1.810000,unshaped,-5.790000e-04
1.820000,unshaped,-3.353126e-04
1.830000,unshaped,-8.441616e-05
1.840000,unshaped,1.732270e-04
1.850000,unshaped,4.370980e-04
1.860000,unshaped,7.066243e-04
1.870000,unshaped,9.811836e-04
1.880000,unshaped,1.260108e-03
1.890000,unshaped,1.542687e-03
1.900000,unshaped,1.828176e-03
1.910000,unshaped,2.115795e-03
1.920000,unshaped,2.404740e-03
1.930000,unshaped,2.694185e-03
1.940000,unshaped,2.983289e-03
1.950000,unshaped,3.271200e-03
1.960000,unshaped,3.557063e-03
1.970000,unshaped,3.840023e-03
1.980000,unshaped,4.119235e-03
1.990000,unshaped,4.393865e-03
2.000000,unshaped,4.663099e-03
2.010000,unshaped,4.926145e-03
2.020000,unshaped,5.182244e-03
2.030000,unshaped,5.430668e-03
2.040000,unshaped,5.670730e-03
2.050000,unshaped,5.901788e-03
2.060000,unshaped,6.123244e-03
2.070000,unshaped,6.334556e-03
2.080000,unshaped,6.535234e-03
2.090000,unshaped,6.724846e-03
2.100000,unshaped,6.903022e-03
2.110000,unshaped,7.069453e-03
2.120000,unshaped,7.223895e-03
2.130000,unshaped,7.366168e-03
2.140000,unshaped,7.496159e-03
2.150000,unshaped,7.613819e-03
2.160000,unshaped,7.719167e-03
2.170000,unshaped,7.812283e-03
2.180000,unshaped,7.893313e-03
2.190000,unshaped,7.962464e-03
2.200000,unshaped,8.020000e-03
2.210000,unshaped,8.066243e-03
2.220000,unshaped,8.101569e-03
2.230000,unshaped,8.126401e-03
2.240000,unshaped,8.141211e-03
2.250000,unshaped,8.146510e-03
2.260000,unshaped,8.142848e-03
2.270000,unshaped,8.130807e-03
2.280000,unshaped,8.110997e-03
2.290000,unshaped,8.084049e-03
2.300000,unshaped,8.050612e-03
2.310000,unshaped,8.011349e-03
2.320000,unshaped,7.966926e-03
2.330000,unshaped,7.918012e-03
2.340000,unshaped,7.865272e-03
2.350000,unshaped,7.809361e-03
2.360000,unshaped,7.750919e-03
2.370000,unshaped,7.690566e-03
2.380000,unshaped,7.628899e-03
2.390000,unshaped,7.566484e-03
2.400000,unshaped,7.503854e-03
2.410000,unshaped,7.441504e-03
2.420000,unshaped,7.379890e-03
2.430000,unshaped,7.319421e-03
2.440000,unshaped,7.260458e-03
2.450000,unshaped,7.203315e-03
2.460000,unshaped,7.148251e-03
2.470000,unshaped,7.095471e-03
2.480000,unshaped,7.045126e-03
2.490000,unshaped,6.997311e-03
2.500000,unshaped,6.952064e-03
2.510000,unshaped,6.909367e-03
2.520000,unshaped,6.869146e-03
2.530000,unshaped,6.831273e-03
2.540000,unshaped,6.795567e-03
2.550000,unshaped,6.761796e-03
2.560000,unshaped,6.729678e-03
2.570000,unshaped,6.698886e-03
2.580000,unshaped,6.669050e-03
2.590000,unshaped,6.639761e-03
2.600000,unshaped,6.610573e-03
2.610000,unshaped,6.581010e-03
2.620000,unshaped,6.550567e-03
2.630000,unshaped,6.518718e-03
2.640000,unshaped,6.484918e-03
2.650000,unshaped,6.448609e-03
2.660000,unshaped,6.409225e-03
2.670000,unshaped,6.366197e-03
2.680000,unshaped,6.318957e-03
2.690000,unshaped,6.266946e-03
2.700000,unshaped,6.209616e-03
2.710000,unshaped,6.146435e-03
2.720000,unshaped,6.076896e-03
2.730000,unshaped,6.000514e-03
2.740000,unshaped,5.916839e-03
2.750000,unshaped,5.825454e-03
2.760000,unshaped,5.725980e-03
2.770000,unshaped,5.618084e-03
2.780000,unshaped,5.501475e-03
2.790000,unshaped,5.375913e-03
2.800000,unshaped,5.241210e-03
2.810000,unshaped,5.097229e-03
2.820000,unshaped,4.943891e-03
2.830000,unshaped,4.781171e-03
2.840000,unshaped,4.609104e-03
2.850000,unshaped,4.427782e-03
2.860000,unshaped,4.237355e-03
2.870000,unshaped,4.038029e-03
2.880000,unshaped,3.830069e-03
2.890000,unshaped,3.613794e-03
2.900000,unshaped,3.389576e-03
2.910000,unshaped,3.157841e-03
2.920000,unshaped,2.919062e-03
2.930000,unshaped,2.673757e-03
2.940000,unshaped,2.422489e-03
2.950000,unshaped,2.165860e-03
2.960000,unshaped,1.904505e-03
2.970000,unshaped,1.639093e-03
2.980000,unshaped,1.370320e-03
2.990000,unshaped,1.098901e-03
3.000000,unshaped,8.255721e-04
3.010000,unshaped,5.510811e-04
3.020000,unshaped,2.761834e-04
3.030000,unshaped,1.637650e-06
3.040000,unshaped,-2.717997e-04
3.050000,unshaped,-5.433791e-04
3.060000,unshaped,-8.123628e-04
3.070000,unshaped,-1.078030e-03
3.080000,unshaped,-1.339681e-03
3.090000,unshaped,-1.596642e-03
3.100000,unshaped,-1.848268e-03
3.110000,unshaped,-2.093951e-03
3.120000,unshaped,-2.333118e-03
3.130000,unshaped,-2.565239e-03
3.140000,unshaped,-2.789827e-03
3.150000,unshaped,-3.006444e-03
3.160000,unshaped,-3.214699e-03
3.170000,unshaped,-3.414256e-03
3.180000,unshaped,-3.604830e-03
3.190000,unshaped,-3.786190e-03
3.200000,unshaped,-3.958164e-03
3.210000,unshaped,-4.120631e-03
3.220000,unshaped,-4.273529e-03
3.230000,unshaped,-4.416851e-03
3.240000,unshaped,-4.550643e-03
3.250000,unshaped,-4.675005e-03
3.260000,unshaped,-4.790089e-03
3.270000,unshaped,-4.896095e-03
3.280000,unshaped,-4.993272e-03
3.290000,unshaped,-5.081912e-03
3.300000,unshaped,-5.162348e-03
3.310000,unshaped,-5.234952e-03
3.320000,unshaped,-5.300129e-03
3.330000,unshaped,-5.358316e-03
3.340000,unshaped,-5.409974e-03
3.350000,unshaped,-5.455588e-03
3.360000,unshaped,-5.495660e-03
3.370000,unshaped,-5.530705e-03
3.380000,unshaped,-5.561246e-03
3.390000,unshaped,-5.587811e-03
3.400000,unshaped,-5.610928e-03
3.410000,unshaped,-5.631117e-03
3.420000,unshaped,-5.648892e-03
3.430000,unshaped,-5.664750e-03
3.440000,unshaped,-5.679172e-03
3.450000,unshaped,-5.692614e-03
3.460000,unshaped,-5.705509e-03
3.470000,unshaped,-5.718257e-03
3.480000,unshaped,-5.731229e-03
3.490000,unshaped,-5.744755e-03
3.500000,unshaped,-5.759130e-03
3.510000,unshaped,-5.774605e-03
3.520000,unshaped,-5.791391e-03
3.530000,unshaped,-5.809650e-03
3.540000,unshaped,-5.829501e-03
3.550000,unshaped,-5.851014e-03
3.560000,unshaped,-5.874211e-03
3.570000,unshaped,-5.899067e-03
3.580000,unshaped,-5.925509e-03
3.590000,unshaped,-5.953418e-03
3.600000,unshaped,-5.982627e-03
3.610000,unshaped,-6.012927e-03
3.620000,unshaped,-6.044064e-03
3.630000,unshaped,-6.075746e-03
3.640000,unshaped,-6.107641e-03
3.650000,unshaped,-6.139382e-03
3.660000,unshaped,-6.170571e-03
3.670000,unshaped,-6.200780e-03
3.680000,unshaped,-6.229556e-03
3.690000,unshaped,-6.256427e-03
3.700000,unshaped,-6.280899e-03
3.710000,unshaped,-6.302468e-03
3.720000,unshaped,-6.320621e-03
3.730000,unshaped,-6.334838e-03
3.740000,unshaped,-6.344602e-03
3.750000,unshaped,-6.349396e-03
3.760000,unshaped,-6.348715e-03
3.770000,unshaped,-6.342064e-03
3.780000,unshaped,-6.328966e-03
3.790000,unshaped,-6.308966e-03
3.800000,unshaped,-6.281632e-03
3.810000,unshaped,-6.246561e-03
3.820000,unshaped,-6.203384e-03
3.830000,unshaped,-6.151765e-03
3.840000,unshaped,-6.091408e-03
3.850000,unshaped,-6.022058e-03
3.860000,unshaped,-5.943504e-03
3.870000,unshaped,-5.855578e-03
3.880000,unshaped,-5.758164e-03
3.890000,unshaped,-5.651192e-03
3.900000,unshaped,-5.534642e-03
3.910000,unshaped,-5.408546e-03
3.920000,unshaped,-5.272986e-03
3.930000,unshaped,-5.128093e-03
3.940000,unshaped,-4.974052e-03
3.950000,unshaped,-4.811094e-03
3.960000,unshaped,-4.639500e-03
3.970000,unshaped,-4.459596e-03
3.980000,unshaped,-4.271755e-03
3.990000,unshaped,-4.076390e-03
4.000000,unshaped,-3.873954e-03
4.010000,unshaped,-3.664938e-03
4.020000,unshaped,-3.449867e-03
4.030000,unshaped,-3.229294e-03
4.040000,unshaped,-3.003801e-03
4.050000,unshaped,-2.773992e-03
4.060000,unshaped,-2.540491e-03
4.070000,unshaped,-2.303935e-03
4.080000,unshaped,-2.064974e-03
4.090000,unshaped,-1.824263e-03
4.100000,unshaped,-1.582459e-03
4.110000,unshaped,-1.340218e-03
4.120000,unshaped,-1.098190e-03
4.130000,unshaped,-8.570128e-04
4.140000,unshaped,-6.173115e-04
4.150000,unshaped,-3.796919e-04
4.160000,unshaped,-1.447374e-04
4.170000,unshaped,8.699395e-05
4.180000,unshaped,3.149738e-04
4.190000,unshaped,5.387061e-04
4.200000,unshaped,7.577300e-04
4.210000,unshaped,9.716226e-04
4.220000,unshaped,1.180001e-03
4.230000,unshaped,1.382525e-03
4.240000,unshaped,1.578899e-03
4.250000,unshaped,1.768870e-03
4.260000,unshaped,1.952233e-03
4.270000,unshaped,2.128830e-03
4.280000,unshaped,2.298549e-03
4.290000,unshaped,2.461325e-03
4.300000,unshaped,2.617141e-03
4.310000,unshaped,2.766023e-03
4.320000,unshaped,2.908042e-03
4.330000,unshaped,3.043314e-03
4.340000,unshaped,3.171994e-03
4.350000,unshaped,3.294276e-03
4.360000,unshaped,3.410390e-03
4.370000,unshaped,3.520602e-03
4.380000,unshaped,3.625206e-03
4.390000,unshaped,3.724525e-03
4.400000,unshaped,3.818908e-03
4.410000,unshaped,3.908721e-03
4.420000,unshaped,3.994350e-03
4.430000,unshaped,4.076193e-03
4.440000,unshaped,4.154658e-03
4.450000,unshaped,4.230160e-03
4.460000,unshaped,4.303112e-03
4.470000,unshaped,4.373927e-03
4.480000,unshaped,4.443014e-03
4.490000,unshaped,4.510768e-03
4.500000,unshaped,4.577573e-03
4.510000,unshaped,4.643795e-03
4.520000,unshaped,4.709779e-03
4.530000,unshaped,4.775848e-03
4.540000,unshaped,4.842297e-03
4.550000,unshaped,4.909391e-03
4.560000,unshaped,4.977364e-03
4.570000,unshaped,5.046417e-03
4.580000,unshaped,5.116711e-03
4.590000,unshaped,5.188372e-03
4.600000,unshaped,5.261488e-03
4.610000,unshaped,5.336105e-03
4.620000,unshaped,5.412227e-03
4.630000,unshaped,5.489821e-03
4.640000,unshaped,5.568809e-03
4.650000,unshaped,5.649075e-03
4.660000,unshaped,5.730462e-03
4.670000,unshaped,5.812774e-03
4.680000,unshaped,5.895777e-03
4.690000,unshaped,5.979204e-03
4.700000,unshaped,6.062751e-03
4.710000,unshaped,6.146083e-03
4.720000,unshaped,6.228837e-03
4.730000,unshaped,6.310623e-03
4.740000,unshaped,6.391027e-03
4.750000,unshaped,6.469616e-03
4.760000,unshaped,6.545940e-03
4.770000,unshaped,6.619534e-03
4.780000,unshaped,6.689924e-03
4.790000,unshaped,6.756631e-03
4.800000,unshaped,6.819173e-03
4.810000,unshaped,6.877069e-03
4.820000,unshaped,6.929843e-03
4.830000,unshaped,6.977028e-03
4.840000,unshaped,7.018170e-03
4.850000,unshaped,7.052832e-03
4.860000,unshaped,7.080595e-03
4.870000,unshaped,7.101063e-03
4.880000,unshaped,7.113869e-03
4.890000,unshaped,7.118672e-03
4.900000,unshaped,7.115165e-03
4.910000,unshaped,7.103074e-03
4.920000,unshaped,7.082163e-03
4.930000,unshaped,7.052235e-03
4.940000,unshaped,7.013131e-03
4.950000,unshaped,6.964738e-03
4.960000,unshaped,6.906983e-03
4.970000,unshaped,6.839838e-03
4.980000,unshaped,6.763320e-03
4.990000,unshaped,6.677487e-03
5.000000,unshaped,6.582447e-03
5.010000,unshaped,6.478346e-03
5.020000,unshaped,6.365377e-03
5.030000,unshaped,6.243773e-03
5.040000,unshaped,6.113808e-03
5.050000,unshaped,5.975794e-03
5.060000,unshaped,5.830080e-03
5.070000,unshaped,5.677048e-03
5.080000,unshaped,5.517114e-03
5.090000,unshaped,5.350722e-03
5.100000,unshaped,5.178341e-03
5.110000,unshaped,5.000464e-03
5.120000,unshaped,4.817603e-03
5.130000,unshaped,4.630288e-03
5.140000,unshaped,4.439059e-03
5.150000,unshaped,4.244466e-03
5.160000,unshaped,4.047066e-03
5.170000,unshaped,3.847416e-03
5.180000,unshaped,3.646071e-03
5.190000,unshaped,3.443582e-03
5.200000,unshaped,3.240489e-03
5.210000,unshaped,3.037321e-03
5.220000,unshaped,2.834591e-03
5.230000,unshaped,2.632793e-03
5.240000,unshaped,2.432398e-03
5.250000,unshaped,2.233852e-03
5.260000,unshaped,2.037574e-03
5.270000,unshaped,1.843954e-03
5.280000,unshaped,1.653348e-03
5.290000,unshaped,1.466080e-03
5.300000,unshaped,1.282435e-03
5.310000,unshaped,1.102665e-03
5.320000,unshaped,9.269816e-04
5.330000,unshaped,7.555579e-04
5.340000,unshaped,5.885283e-04
5.350000,unshaped,4.259876e-04
5.360000,unshaped,2.679916e-04
5.370000,unshaped,1.145576e-04
5.380000,unshaped,-3.433513e-05
5.390000,unshaped,-1.787439e-04
