factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm,pointing_band_rms_deg,vibration_band_rms_mm,pointing_psd_at_f0_db,vibration_psd_at_f0_db
disturbance_frequency_hz,8,9.47899,fourth_filtered_pd,0.0496303,0.00107671,16.6968,8.11992,8.71365e-06,0.000221447,-101.156,-142.123
disturbance_frequency_hz,9,1.54094,unshaped_standard_pd,0.552966,0.0191189,15.5868,7.47211,0.00116722,0.0842839,-53.6277,-75.7773
disturbance_frequency_hz,9,1.54094,unshaped_filtered_pd,0.497912,0.0170219,15.9954,7.47809,0.00121529,0.0795386,-52.5016,-75.4135
disturbance_frequency_hz,9,1.54094,fourth_standard_pd,0.0519803,0.00135567,16.6972,8.1193,0.000935833,0.00494989,-54.0306,-99.1498
disturbance_frequency_hz,9,1.54094,fourth_filtered_pd,0.0495975,0.00107874,16.6834,8.11992,0.000936057,0.00530453,-54.0132,-98.0421
disturbance_frequency_hz,10,3.11036,unshaped_standard_pd,0.55297,0.0191192,15.5759,7.47213,0.000144701,0.0214934,-70.9869,-87.1545
disturbance_frequency_hz,10,3.11036,unshaped_filtered_pd,0.497913,0.0170222,15.9905,7.4781,0.000160406,0.0194713,-70.6483,-88.9178
disturbance_frequency_hz,10,3.11036,fourth_standard_pd,0.0520089,0.00135374,16.7116,8.11931,0.000138941,0.00111905,-72.1142,-114.005
disturbance_frequency_hz,10,3.11036,fourth_filtered_pd,0.0496289,0.00107668,16.6979,8.11992,0.00013892,0.00122083,-72.1653,-113.795
disturbance_frequency_hz,11,5.82643,unshaped_standard_pd,0.552975,0.0191192,15.5957,7.47214,5.4377e-05,0.00668794,-79.4755,-97.9579
disturbance_frequency_hz,11,5.82643,unshaped_filtered_pd,0.497918,0.0170222,15.9885,7.47811,4.96106e-05,0.00606726,-80.9093,-99.4784
disturbance_frequency_hz,11,5.82643,fourth_standard_pd,0.0520111,0.00135375,16.7051,8.11931,2.96105e-05,0.000505955,-88.312,-124.423
disturbance_frequency_hz,11,5.82643,fourth_filtered_pd,0.0496306,0.00107673,16.6843,8.11992,2.95964e-05,0.000455649,-88.1547,-122.501
disturbance_frequency_hz,12,41.4478,unshaped_standard_pd,0.552974,0.0191192,15.591,7.47212,1.00574e-07,0.000168894,-142.898,-139.49
disturbance_frequency_hz,12,41.4478,unshaped_filtered_pd,0.497918,0.0170222,15.9964,7.4781,9.96326e-08,0.000117531,-142.91,-147.936
disturbance_frequency_hz,12,41.4478,fourth_standard_pd,0.0520114,0.00135375,16.71,8.11931,1.00373e-07,1.20512e-05,-142.783,-165.125
disturbance_frequency_hz,12,41.4478,fourth_filtered_pd,0.0496307,0.00107672,16.6947,8.11992,1.00766e-07,5.32323e-06,-142.573,-171.981
disturbance_frequency_hz,13,45.4304,unshaped_standard_pd,0.552974,0.0191192,15.5956,7.47213,5.05204e-08,0.000157525,-147.36,-140.066
disturbance_frequency_hz,13,45.4304,unshaped_filtered_pd,0.497918,0.0170222,15.9986,7.4781,5.01417e-08,0.000101398,-147.44,-147.277
disturbance_frequency_hz,13,45.4304,fourth_standard_pd,0.0520114,0.00135375,16.7097,8.11931,5.16388e-08,1.13333e-05,-147.937,-158.893
disturbance_frequency_hz,13,45.4304,fourth_filtered_pd,0.0496307,0.00107672,16.6963,8.11992,5.13437e-08,3.9082e-06,-148.142,-174.542
disturbance_frequency_hz,14,0.59968,unshaped_standard_pd,0.553028,0.0191228,15.5782,7.47209,0.0108229,0.260601,-28.1479,-61.418
disturbance_frequency_hz,14,0.59968,unshaped_filtered_pd,0.497925,0.0170248,16.0045,7.47807,0.010748,0.23957,-28.2286,-62.2727
disturbance_frequency_hz,14,0.59968,fourth_standard_pd,0.0521284,0.00135461,16.6998,8.11931,0.0107042,0.0202907,-28.3999,-81.8147
disturbance_frequency_hz,14,0.59968,fourth_filtered_pd,0.0497623,0.00107694,16.6841,8.11992,0.0107107,0.0211235,-28.3944,-81.4022
disturbance_frequency_hz,15,9.55826,unshaped_standard_pd,0.552975,0.0191192,15.585,7.47213,1.45879e-05,0.00281239,-100.381,-116.186
disturbance_frequency_hz,15,9.55826,unshaped_filtered_pd,0.497918,0.0170222,16.0078,7.47811,1.1949e-05,0.00228074,-101.851,-118.704
disturbance_frequency_hz,15,9.55826,fourth_standard_pd,0.0520112,0.00135375,16.709,8.11931,8.73443e-06,0.000221787,-101.535,-134.961
disturbance_frequency_hz,15,9.55826,fourth_filtered_pd,0.0496305,0.00107671,16.6907,8.11992,8.74318e-06,0.000208739,-101.555,-140.523
disturbance_frequency_hz,16,10.5726,unshaped_standard_pd,0.552974,0.0191192,15.5869,7.47213,1.11212e-05,0.00236363,-101.619,-119.275
disturbance_frequency_hz,16,10.5726,unshaped_filtered_pd,0.497918,0.0170222,15.9883,7.4781,8.48949e-06,0.00166033,-101.772,-112.807
disturbance_frequency_hz,16,10.5726,fourth_standard_pd,0.0520113,0.00135375,16.7104,8.11931,6.75032e-06,0.000190764,-103.965,-134.307
disturbance_frequency_hz,16,10.5726,fourth_filtered_pd,0.0496305,0.00107671,16.6974,8.11992,6.74715e-06,0.000139119,-104.039,-136.208
disturbance_frequency_hz,17,0.861338,unshaped_standard_pd,0.552963,0.0191197,15.5865,7.47208,0.00705651,0.432222,-33.9329,-58.2968
disturbance_frequency_hz,17,0.861338,unshaped_filtered_pd,0.497899,0.0170228,15.996,7.47806,0.00627372,0.368797,-35.246,-60.3662
disturbance_frequency_hz,17,0.861338,fourth_standard_pd,0.0520068,0.00135384,16.7116,8.11931,0.00385371,0.0237707,-38.9151,-84.2475
disturbance_frequency_hz,17,0.861338,fourth_filtered_pd,0.049631,0.00107639,16.6966,8.11992,0.00385391,0.0206591,-38.9249,-86.4295
disturbance_frequency_hz,18,0.215934,unshaped_standard_pd,0.552904,0.0191223,15.5926,7.47228,0.290867,0.167889,1.65867,-67.3561
disturbance_frequency_hz,18,0.215934,unshaped_filtered_pd,0.49786,0.017024,16.0024,7.47822,0.29085,0.175,1.65728,-67.0051
disturbance_frequency_hz,18,0.215934,fourth_standard_pd,0.0519804,0.00135525,16.6963,8.11915,0.276573,0.270998,0.945442,-60.116
disturbance_frequency_hz,18,0.215934,fourth_filtered_pd,0.0496347,0.00108348,16.6829,8.1198,0.276602,0.273197,0.946923,-60.0409
disturbance_frequency_hz,19,0.128978,unshaped_standard_pd,0.553007,0.0191202,15.5844,7.47215,3.31416,0.061426,10.799,-72.0282
disturbance_frequency_hz,19,0.128978,unshaped_filtered_pd,0.497944,0.0170228,15.9951,7.47811,3.31438,0.062898,10.7964,-71.7913
disturbance_frequency_hz,19,0.128978,fourth_standard_pd,0.0519647,0.00141489,16.7052,8.11933,3.69589,0.173254,10.6445,-63.8834
disturbance_frequency_hz,19,0.128978,fourth_filtered_pd,0.0495464,0.00108535,16.6893,8.11993,3.69628,0.174053,10.643,-63.8324
disturbance_frequency_hz,20,12.5322,unshaped_standard_pd,0.552974,0.0191192,15.5807,7.47212,6.10461e-06,0.00139222,-101.711,-110.999
disturbance_frequency_hz,20,12.5322,unshaped_filtered_pd,0.497918,0.0170222,16.0036,7.4781,5.52543e-06,0.00142824,-107.649,-123.14
disturbance_frequency_hz,20,12.5322,fourth_standard_pd,0.0520113,0.00135375,16.7117,8.11931,4.40379e-06,0.000131785,-108.504,-136.082
disturbance_frequency_hz,20,12.5322,fourth_filtered_pd,0.0496305,0.00107671,16.6964,8.11992,4.41426e-06,0.000120333,-108.425,-148.244
disturbance_frequency_hz,21,2.09742,unshaped_standard_pd,0.552925,0.0191193,15.5759,7.47217,0.000448438,0.0197353,-61.0417,-88.2592
disturbance_frequency_hz,21,2.09742,unshaped_filtered_pd,0.497891,0.0170223,15.9961,7.47815,0.000445865,0.0197697,-61.1178,-87.3295
disturbance_frequency_hz,21,2.09742,fourth_standard_pd,0.0520147,0.00135371,16.6942,8.11931,0.000410265,0.00182228,-61.7189,-109.179
disturbance_frequency_hz,21,2.09742,fourth_filtered_pd,0.0496338,0.00107671,16.6777,8.11992,0.000410228,0.00159484,-61.6842,-110.155
disturbance_frequency_hz,22,45.7029,unshaped_standard_pd,0.552974,0.0191192,15.592,7.47213,4.74785e-08,0.000154447,-151.75,-138.903
disturbance_frequency_hz,22,45.7029,unshaped_filtered_pd,0.497918,0.0170222,16.0017,7.4781,4.70971e-08,0.000106973,-151.892,-143.701
disturbance_frequency_hz,22,45.7029,fourth_standard_pd,0.0520114,0.00135375,16.7084,8.11931,4.83971e-08,1.09545e-05,-149.218,-166.791
disturbance_frequency_hz,22,45.7029,fourth_filtered_pd,0.0496307,0.00107672,16.6959,8.11992,4.808e-08,3.83522e-06,-149.178,-174.706
disturbance_frequency_hz,23,1.79866,unshaped_standard_pd,0.552958,0.0191194,15.5763,7.47211,0.00101916,0.0829314,-55.7208,-76.9299
disturbance_frequency_hz,23,1.79866,unshaped_filtered_pd,0.497897,0.0170225,15.9879,7.47808,0.00080574,0.064245,-56.3957,-78.4987
disturbance_frequency_hz,23,1.79866,fourth_standard_pd,0.0520082,0.00135391,16.7084,8.11931,0.000600458,0.00301311,-57.8504,-110.293
disturbance_frequency_hz,23,1.79866,fourth_filtered_pd,0.0496324,0.00107682,16.6937,8.11992,0.000599867,0.00208923,-57.7944,-110.858
disturbance_frequency_hz,24,43.5882,unshaped_standard_pd,0.552974,0.0191192,15.5939,7.47213,7.23082e-08,0.000163323,-146.176,-136.627
disturbance_frequency_hz,24,43.5882,unshaped_filtered_pd,0.497918,0.0170222,16.0068,7.4781,7.16456e-08,0.000117761,-146.082,-142.323
disturbance_frequency_hz,24,43.5882,fourth_standard_pd,0.0520114,0.00135375,16.7087,8.11931,7.25769e-08,1.14348e-05,-145.811,-164.239
