frequency_hz,controller,S_mag_db,T_mag_db
0.017549,filtered_pd,-40.3623,0.0795
0.017711,standard_pd,-39.9956,0.0848
0.017711,filtered_pd,-40.2073,0.0809
0.017875,standard_pd,-39.8370,0.0863
0.017875,filtered_pd,-40.0525,0.0822
0.018041,standard_pd,-39.6784,0.0879
0.018041,filtered_pd,-39.8977,0.0836
0.018208,standard_pd,-39.5198,0.0894
0.018208,filtered_pd,-39.7430,0.0851
0.018377,standard_pd,-39.3613,0.0911
0.018377,filtered_pd,-39.5884,0.0865
0.018547,standard_pd,-39.2028,0.0927
0.018547,filtered_pd,-39.4340,0.0880
0.018719,standard_pd,-39.0443,0.0943
0.018719,filtered_pd,-39.2796,0.0895
0.018892,standard_pd,-38.8858,0.0960
0.018892,filtered_pd,-39.1253,0.0910
0.019067,standard_pd,-38.7274,0.0977
0.019067,filtered_pd,-38.9711,0.0925
0.019244,standard_pd,-38.5690,0.0995
0.019244,filtered_pd,-38.8170,0.0941
0.019422,standard_pd,-38.4107,0.1013
0.019422,filtered_pd,-38.6630,0.0957
0.019602,standard_pd,-38.2523,0.1031
0.019602,filtered_pd,-38.5092,0.0973
0.019783,standard_pd,-38.0941,0.1049
0.019783,filtered_pd,-38.3554,0.0989
0.019966,standard_pd,-37.9358,0.1068
0.019966,filtered_pd,-38.2018,0.1006
0.020151,standard_pd,-37.7776,0.1087
0.020151,filtered_pd,-38.0482,0.1023
0.020338,standard_pd,-37.6194,0.1106
0.020338,filtered_pd,-37.8948,0.1040
0.020526,standard_pd,-37.4612,0.1126
0.020526,filtered_pd,-37.7415,0.1057
0.020716,standard_pd,-37.3031,0.1146
0.020716,filtered_pd,-37.5883,0.1075
0.020908,standard_pd,-37.1451,0.1166
0.020908,filtered_pd,-37.4352,0.1093
0.021102,standard_pd,-36.9870,0.1187
0.021102,filtered_pd,-37.2822,0.1111
0.021297,standard_pd,-36.8290,0.1208
0.021297,filtered_pd,-37.1294,0.1129
0.021495,standard_pd,-36.6711,0.1229
0.021495,filtered_pd,-36.9767,0.1148
0.021694,standard_pd,-36.5132,0.1251
0.021694,filtered_pd,-36.8241,0.1167
0.021895,standard_pd,-36.3553,0.1273
0.021895,filtered_pd,-36.6716,0.1186
0.022098,standard_pd,-36.1975,0.1296
0.022098,filtered_pd,-36.5193,0.1206
0.022302,standard_pd,-36.0397,0.1318
0.022302,filtered_pd,-36.3671,0.1225
0.022509,standard_pd,-35.8819,0.1342
0.022509,filtered_pd,-36.2151,0.1245
0.022717,standard_pd,-35.7242,0.1365
0.022717,filtered_pd,-36.0631,0.1266
0.022928,standard_pd,-35.5666,0.1389
0.022928,filtered_pd,-35.9113,0.1286
0.023140,standard_pd,-35.4090,0.1414
0.023140,filtered_pd,-35.7597,0.1307
0.023354,standard_pd,-35.2514,0.1438
0.023354,filtered_pd,-35.6082,0.1328
0.023571,standard_pd,-35.0939,0.1464
0.023571,filtered_pd,-35.4568,0.1350
0.023789,standard_pd,-34.9364,0.1489
0.023789,filtered_pd,-35.3056,0.1371
0.024009,standard_pd,-34.7790,0.1515
0.024009,filtered_pd,-35.1545,0.1393
0.024232,standard_pd,-34.6216,0.1542
0.024232,filtered_pd,-35.0036,0.1416
0.024456,standard_pd,-34.4643,0.1569
0.024456,filtered_pd,-34.8528,0.1438
0.024683,standard_pd,-34.3070,0.1596
0.024683,filtered_pd,-34.7022,0.1461
0.024911,standard_pd,-34.1498,0.1624
0.024911,filtered_pd,-34.5518,0.1485
0.025142,standard_pd,-33.9927,0.1652
0.025142,filtered_pd,-34.4015,0.1508
0.025375,standard_pd,-33.8356,0.1681
0.025375,filtered_pd,-34.2513,0.1532
0.025610,standard_pd,-33.6785,0.1710
0.025610,filtered_pd,-34.1013,0.1556
0.025847,standard_pd,-33.5215,0.1739
0.025847,filtered_pd,-33.9515,0.1581
0.026087,standard_pd,-33.3646,0.1769
0.026087,filtered_pd,-33.8019,0.1605
0.026328,standard_pd,-33.2077,0.1800
0.026328,filtered_pd,-33.6524,0.1630
0.026572,standard_pd,-33.0509,0.1831
0.026572,filtered_pd,-33.5031,0.1656
0.026818,standard_pd,-32.8942,0.1862
0.026818,filtered_pd,-33.3540,0.1681
0.027067,standard_pd,-32.7375,0.1895
0.027067,filtered_pd,-33.2051,0.1707
0.027317,standard_pd,-32.5808,0.1927
0.027317,filtered_pd,-33.0563,0.1734
0.027570,standard_pd,-32.4243,0.1960
0.027570,filtered_pd,-32.9077,0.1760
0.027826,standard_pd,-32.2678,0.1994
0.027826,filtered_pd,-32.7593,0.1787
0.028083,standard_pd,-32.1113,0.2028
0.028083,filtered_pd,-32.6111,0.1815
0.028343,standard_pd,-31.9550,0.2062
0.028343,filtered_pd,-32.4631,0.1842
0.028606,standard_pd,-31.7987,0.2097
0.028606,filtered_pd,-32.3152,0.1870
0.028871,standard_pd,-31.6425,0.2133
0.028871,filtered_pd,-32.1676,0.1899
0.029138,standard_pd,-31.4863,0.2169
0.029138,filtered_pd,-32.0202,0.1927
0.029408,standard_pd,-31.3302,0.2206
0.029408,filtered_pd,-31.8729,0.1956
0.029681,standard_pd,-31.1742,0.2243
0.029681,filtered_pd,-31.7259,0.1985
0.029955,standard_pd,-31.0183,0.2281
0.029955,filtered_pd,-31.5791,0.2015
0.030233,standard_pd,-30.8624,0.2320
0.030233,filtered_pd,-31.4324,0.2045
0.030513,standard_pd,-30.7066,0.2359
0.030513,filtered_pd,-31.2860,0.2075
0.030796,standard_pd,-30.5509,0.2398
0.030796,filtered_pd,-31.1398,0.2106
0.031081,standard_pd,-30.3953,0.2439
0.031081,filtered_pd,-30.9938,0.2136
0.031369,standard_pd,-30.2398,0.2479
0.031369,filtered_pd,-30.8481,0.2168
0.031659,standard_pd,-30.0843,0.2521
0.031659,filtered_pd,-30.7025,0.2199
0.031952,standard_pd,-29.9290,0.2563
0.031952,filtered_pd,-30.5572,0.2231
0.032248,standard_pd,-29.7737,0.2605
0.032248,filtered_pd,-30.4121,0.2263
0.032547,standard_pd,-29.6185,0.2649
0.032547,filtered_pd,-30.2672,0.2296
0.032849,standard_pd,-29.4634,0.2693
0.032849,filtered_pd,-30.1226,0.2329
0.033153,standard_pd,-29.3084,0.2737
0.033153,filtered_pd,-29.9782,0.2362
0.033460,standard_pd,-29.1535,0.2782
0.033460,filtered_pd,-29.8340,0.2395
0.033770,standard_pd,-28.9986,0.2828
0.033770,filtered_pd,-29.6901,0.2429
0.034083,standard_pd,-28.8439,0.2874
0.034083,filtered_pd,-29.5464,0.2463
0.034398,standard_pd,-28.6893,0.2922
0.034398,filtered_pd,-29.4029,0.2497
0.034717,standard_pd,-28.5347,0.2969
0.034717,filtered_pd,-29.2597,0.2532
0.035038,standard_pd,-28.3803,0.3018
0.035038,filtered_pd,-29.1168,0.2567
0.035363,standard_pd,-28.2260,0.3067
0.035363,filtered_pd,-28.9741,0.2602
0.035690,standard_pd,-28.0717,0.3117
0.035690,filtered_pd,-28.8317,0.2638
0.036021,standard_pd,-27.9176,0.3167
0.036021,filtered_pd,-28.6895,0.2674
0.036355,standard_pd,-27.7636,0.3218
0.036355,filtered_pd,-28.5475,0.2710
0.036691,standard_pd,-27.6097,0.3270
