factor,sample_index,factor_value,combo,rms_vibration_mm,rms_pointing_error_deg,peak_torque_nm,rms_torque_nm
modal_frequency_scale,13,1.18247,fourth_filtered_pd,0.0524443,0.00168657,16.6826,8.11511
modal_frequency_scale,14,1.12924,unshaped_standard_pd,0.36379,0.0123435,15.5201,7.47284
modal_frequency_scale,14,1.12924,unshaped_filtered_pd,0.369505,0.0121653,16.0955,7.47876
modal_frequency_scale,14,1.12924,fourth_standard_pd,0.0571156,0.00182572,16.6652,8.11589
modal_frequency_scale,14,1.12924,fourth_filtered_pd,0.0539405,0.00163678,16.6572,8.11625
modal_frequency_scale,15,1.14339,unshaped_standard_pd,0.368706,0.0126364,15.5488,7.47201
modal_frequency_scale,15,1.14339,unshaped_filtered_pd,0.354817,0.0118561,16.0717,7.47774
modal_frequency_scale,15,1.14339,fourth_standard_pd,0.0567821,0.00184056,16.6705,8.11558
modal_frequency_scale,15,1.14339,fourth_filtered_pd,0.0538112,0.00166392,16.6646,8.11593
modal_frequency_scale,16,0.778635,unshaped_standard_pd,0.886081,0.0274806,15.4193,7.48137
modal_frequency_scale,16,0.778635,unshaped_filtered_pd,1.03459,0.0322729,16.154,7.49043
modal_frequency_scale,16,0.778635,fourth_standard_pd,0.19406,0.00605792,17.0688,8.12831
modal_frequency_scale,16,0.778635,fourth_filtered_pd,0.24947,0.00775509,17.2008,8.13043
modal_frequency_scale,17,0.774252,unshaped_standard_pd,0.93487,0.0289898,15.4266,7.48143
modal_frequency_scale,17,0.774252,unshaped_filtered_pd,1.09331,0.0343587,16.1775,7.49042
modal_frequency_scale,17,0.774252,fourth_standard_pd,0.210519,0.00661619,17.083,8.12849
modal_frequency_scale,17,0.774252,fourth_filtered_pd,0.27033,0.0085137,17.2186,8.13063
modal_frequency_scale,18,1.25654,unshaped_standard_pd,0.29294,0.00972531,15.516,7.47223
modal_frequency_scale,18,1.25654,unshaped_filtered_pd,0.316313,0.010443,16.1938,7.47706
modal_frequency_scale,18,1.25654,fourth_standard_pd,0.0454551,0.00151877,16.6998,8.11343
modal_frequency_scale,18,1.25654,fourth_filtered_pd,0.044099,0.00144053,16.7053,8.11374
modal_frequency_scale,19,0.938547,unshaped_standard_pd,0.573741,0.0184693,15.459,7.47692
modal_frequency_scale,19,0.938547,unshaped_filtered_pd,0.651591,0.0209114,16.1606,7.4839
modal_frequency_scale,19,0.938547,fourth_standard_pd,0.0578472,0.00162413,16.777,8.12136
modal_frequency_scale,19,0.938547,fourth_filtered_pd,0.065365,0.00167015,16.7924,8.1222
modal_frequency_scale,20,0.880569,unshaped_standard_pd,0.912051,0.0308015,15.6259,7.47283
modal_frequency_scale,20,0.880569,unshaped_filtered_pd,0.897365,0.0305491,16.0969,7.47799
modal_frequency_scale,20,0.880569,fourth_standard_pd,0.095992,0.00316035,16.8783,8.12359
modal_frequency_scale,20,0.880569,fourth_filtered_pd,0.102551,0.00318193,16.9291,8.12476
modal_frequency_scale,21,0.99315,unshaped_standard_pd,0.53867,0.0186447,15.5688,7.47263
modal_frequency_scale,21,0.99315,unshaped_filtered_pd,0.491074,0.0166722,15.9948,7.47887
modal_frequency_scale,21,0.99315,fourth_standard_pd,0.051735,0.00134357,16.7079,8.11952
modal_frequency_scale,21,0.99315,fourth_filtered_pd,0.0499245,0.0010769,16.6956,8.12015
modal_frequency_scale,22,1.09772,unshaped_standard_pd,0.40043,0.0131496,15.4905,7.47411
modal_frequency_scale,22,1.09772,unshaped_filtered_pd,0.442723,0.0144615,16.1739,7.4798
modal_frequency_scale,22,1.09772,fourth_standard_pd,0.0574156,0.00177084,16.6527,8.11662
modal_frequency_scale,22,1.09772,fourth_filtered_pd,0.0540061,0.00155215,16.6393,8.11702
modal_frequency_scale,23,1.27337,unshaped_standard_pd,0.276885,0.00928371,15.5206,7.47192
modal_frequency_scale,23,1.27337,unshaped_filtered_pd,0.292364,0.00963672,16.1696,7.47697
modal_frequency_scale,23,1.27337,fourth_standard_pd,0.0454599,0.00152599,16.7018,8.11314
modal_frequency_scale,23,1.27337,fourth_filtered_pd,0.0431747,0.00141534,16.7086,8.11345
modal_frequency_scale,24,0.871868,unshaped_standard_pd,0.934607,0.0318076,15.6418,7.47216
modal_frequency_scale,24,0.871868,unshaped_filtered_pd,0.885088,0.0303245,16.0489,7.47743
modal_frequency_scale,24,0.871868,fourth_standard_pd,0.101586,0.00338431,16.8913,8.12395
modal_frequency_scale,24,0.871868,fourth_filtered_pd,0.105933,0.00329866,16.9466,8.12519
modal_frequency_scale,25,1.25489,unshaped_standard_pd,0.29504,0.00978897,15.5164,7.47225
modal_frequency_scale,25,1.25489,unshaped_filtered_pd,0.318776,0.0105301,16.1952,7.47704
modal_frequency_scale,25,1.25489,fourth_standard_pd,0.0454853,0.00151919,16.6995,8.11346
modal_frequency_scale,25,1.25489,fourth_filtered_pd,0.0442242,0.00144428,16.7049,8.11377
modal_frequency_scale,26,0.714916,unshaped_standard_pd,1.6949,0.0575014,15.6884,7.47264
modal_frequency_scale,26,0.714916,unshaped_filtered_pd,1.63401,0.055757,16.0418,7.47844
modal_frequency_scale,26,0.714916,fourth_standard_pd,0.535102,0.0189117,17.2727,8.13026
modal_frequency_scale,26,0.714916,fourth_filtered_pd,0.556389,0.0196988,17.395,8.13223
modal_frequency_scale,27,1.03312,unshaped_standard_pd,0.574016,0.0194879,15.6082,7.47164
modal_frequency_scale,27,1.03312,unshaped_filtered_pd,0.54813,0.0187143,16.0872,7.47644
modal_frequency_scale,27,1.03312,fourth_standard_pd,0.0545789,0.00148742,16.681,8.11832
modal_frequency_scale,27,1.03312,fourth_filtered_pd,0.0501462,0.00117672,16.6561,8.11884
modal_frequency_scale,28,1.08039,unshaped_standard_pd,0.44839,0.0146991,15.5104,7.474
modal_frequency_scale,28,1.08039,unshaped_filtered_pd,0.492491,0.0162715,16.1956,7.47923
modal_frequency_scale,28,1.08039,fourth_standard_pd,0.0574763,0.00172929,16.6638,8.11705
modal_frequency_scale,28,1.08039,fourth_filtered_pd,0.0534229,0.00146964,16.6333,8.11748
modal_frequency_scale,29,0.763538,unshaped_standard_pd,1.07355,0.0337098,15.4592,7.48102
modal_frequency_scale,29,0.763538,unshaped_filtered_pd,1.24443,0.0399171,16.2187,7.48962
